round,player_hand,dealer_hand,actions,reward
0,"9,7,11,10","2,11,7","1,1",-1
1,"6,11,6,6","4,4,7,9","1,1,0",1
2,"10,7","11,6",0,0
3,"10,3,10","5,9,10",1,-1
4,"11,8,2","6,11",1,1
5,"5,10,5","11,11,10,10",2,1
6,"3,7,10","11,6",2,1
7,"4,9","10,8",0,-1
8,"8,9,10","4,10,6",1,-1
9,"8,10,3","9,6,5",1,1
10,"9,5,10","10,2,10",2,-1
11,"10,3,7,10","4,5,8","1,1",-1
12,"7,10","10,11",,-1
13,"6,3,3","10,4,10",2,1
14,"9,10,5","2,7,11","3,1",-1
14,"9,5","2,7,11","3,1",-1
15,"2,2,6","7,8,9",2,1
16,"5,5","11,10",,-1
17,"5,10,10","10,6,4",2,-1
18,"10,5,10","10,7",2,-1
19,"7,10,10","10,3,10",2,-1
20,"10,8,6","3,10,10",1,-1
21,"10,10,2","5,2,10",2,-1
22,"8,10,8","4,8,4,10",2,-1
23,"4,8,10","9,7,7",2,-1
24,"2,5","11,8",0,-1
25,"4,3,10","10,10",2,-1
26,"10,10,3","3,6,2,10",1,-1
27,"10,8,10","2,8,9",1,-1
28,"10,10,6","10,10",1,-1
29,"10,2","10,10",0,-1
30,"11,11,8","4,3,5,8",2,0
31,"8,10,6","3,10,4",2,-1
32,"5,10,7","9,10",2,-1
33,"10,3","11,2,5",0,-1
34,"11,2,11","9,10",2,-1
35,"3,10,10","11,11,5",2,-1
36,"7,10,8","4,4,10",2,-1
37,"8,10,11","10,10",2,-1
38,"10,4,3","10,7",2,0
39,"2,10","10,2,3,7",0,1
40,"4,10,3","2,2,4,3,9","1,0",-1
41,"11,3,4","5,2,10",2,1
42,"2,10","4,9,3,10",0,1
43,"10,10,10","3,11,2,2",1,-1
44,"8,10","10,3,8",0,-1
45,"11,9,6,4,4","2,9,8","1,1,1",-1
46,"6,2,5","10,3,8",2,-1
47,"11,10","10,3,8",0,0
48,"7,6","11,7",0,-1
49,"10,8","10,6,8",0,1
50,"10,8,6","6,2,10",1,-1
51,"6,10","10,6,3",0,-1
52,"11,11,11","2,11,10,10",2,1
53,"10,4,6","4,10,7",2,-1
54,"5,11","9,9",0,-1
55,"2,4,10,3,10","3,5,9","1,1,1",-1
56,"10,9","10,3,11,6",0,-1
57,"10,4,6","2,2,6,10",2,0
58,"10,8,10","5,9,10",2,-1
59,"7,8,8","5,9,2,10",2,-1
60,"3,11","11,10",,-1
61,"9,10,9","7,5,7",1,-1
62,"6,8,7","11,9",2,1
63,"10,10,4","10,10",2,-1
64,"10,5,6","9,10",2,1
65,"10,8,5","8,10",2,-1
66,"3,8,8","7,6,5",2,1
67,"2,10,2","3,10,11,10",2,1
68,"4,10,4","2,7,7,10",2,1
69,"10,10","10,11",,-1
70,"10,2,9","10,5,4",2,1
71,"10,7,11","10,5,5",2,-1
72,"9,3,10","7,7,6",2,-1
73,"11,9","10,10",0,0
74,"4,8,9","10,10",2,1
75,"5,4,10","9,10","1,0",0
76,"3,4,10","4,2,3,8",2,0
77,"6,2,8","2,8,6,3",2,-1
78,"10,6,5","5,5,10",2,1
79,"9,10,11,8","10,10","1,1",-1
80,"10,3,5","3,10,11,10",2,1
81,"7,5","8,7,10",0,1
82,"11,6,8","11,6","1,0",-1
83,"10,5","10,11",,-1
84,"9,8,10","2,11,9,5",2,-1
85,"10,10,7","6,6,5",2,-1
86,"10,8","3,2,7,6",0,0
87,"3,3,5","2,2,11,5",2,-1
88,"6,10","5,8,4",0,-1
89,"10,11,2","8,9","1,0",-1
90,"11,10,9","3,10,8",2,-1
91,"4,5,6","2,10,10",2,1
92,"10,3,2","10,10",2,-1
93,"4,6,3","9,2,6",2,-1
94,"10,9,4","4,3,10",2,-1
95,"10,10,4","9,10",2,-1
96,"10,9","9,2,11,10",0,1
97,"10,10","11,10",,-1
98,"10,8,10","6,8,10",1,-1
99,"6,9,4,10","2,4,10,7","1,1",-1
100,"5,10","6,2,6,10",0,1
101,"8,8,7","4,10,5",1,-1
102,"7,11","5,8,7","3,0",-1
102,"7,10","5,8,7","3,0",-1
103,"10,3","10,2,2,8",0,1
104,"7,8","10,6,4",0,-1
105,"10,10","10,10",0,0
106,"10,8","10,10",0,-1
107,"10,10","10,6,4",0,0
108,"6,5","10,6,10",0,1
109,"10,2","8,2,5,10",0,1
110,"3,2","3,6,10",0,-1
111,"11,8","6,10,10",0,1
112,"8,10","11,9",0,-1
113,"4,9","11,11,3,5",0,-1
114,"9,4","3,6,7,10",0,1
115,"10,10,9","7,9,5",2,-1
116,"3,8,9","10,2,11,11,7",2,-1
117,"10,10","9,10",0,1
118,"7,3","7,2,3,3,10",0,1
119,"9,5,9","11,2,10,8",2,-1
120,"10,6","5,10,7",0,1
121,"2,4","8,8,3",0,-1
122,"7,2","2,5,7,10",0,1
123,"4,7","10,6,8",0,1
124,"6,10,7","6,10,10",2,-1
125,"3,9","10,2,10",0,1
126,"7,10","10,10",0,-1
127,"9,10","3,5,10",0,1
128,"10,10","7,10",0,1
129,"5,3","6,10,10",0,1
130,"10,10","2,10,9",0,-1
