round,player_hand,dealer_hand,actions,reward
0,"3,3","7,4,10",0,-1
1,"2,9,3,10","6,9,10","1,1",-1
2,"7,10,10","10,6,10",1,-1
3,"11,3,2,5","2,4,11","1,1",1
4,"10,11","3,2,5,7",0,1
5,"10,4,10","7,9,10",1,-1
6,"10,8","10,4,2,4",0,-1
7,"11,8","10,6,8",0,1
8,"11,4,3","10,10",2,-1
9,"5,7,4,4,4","2,9,11,9","1,1,1",-1
10,"5,10,9","10,10",2,-1
11,"5,8,3","10,8",2,-1
12,"10,10,8","10,2,2,5",2,-1
13,"10,10,10","6,4,6,6",2,-1
14,"8,10,9","5,4,8",1,-1
15,"6,10,10","6,7,2,10",1,-1
16,"10,10","10,10",0,0
17,"6,10,2,10","2,4,11","1,1",-1
18,"2,10,10","10,10",2,-1
19,"2,10,3","10,10",2,-1
20,"7,3,8,2,10","6,2,8,7","1,1,1",-1
21,"4,5,8","9,10","3,2",-1
21,"4,10","9,10","3,2",-1
22,"6,10,10","3,3,6,9",1,-1
23,"10,5,3,2,8","2,6,9","1,1,1",-1
24,"11,10","7,9,10",0,1
25,"7,10,10","4,11,10,5",2,-1
26,"6,9,9","10,7",2,-1
27,"6,3,5,10","6,10,11","1,1",-1
28,"11,10","11,9",0,1
29,"5,10,5","10,9","1,0",1
30,"10,6","10,10",0,-1
31,"10,4,9","10,10",2,-1
32,"7,10,10","7,10",1,-1
33,"5,8,4","10,5,9",2,1
34,"6,9","11,10",,-1
35,"7,8","10,10",0,-1
36,"3,10,8","10,3,11,10","3,2",1
36,"3,7","10,3,11,10","3,2",1
37,"9,11,8,10","5,2,10","1,1",-1
38,"5,5","10,11",,-1
39,"4,3","9,10",0,-1
40,"8,6,10","4,2,6,10",1,-1
41,"6,10","10,9",0,-1
42,"3,9,11","11,11,8",2,-1
43,"4,3","8,5,6",0,-1
44,"10,10","10,10",0,0
45,"10,11","9,8",0,1
46,"10,10","6,10,10",0,1
47,"3,10,7","7,10","1,0",1
48,"10,9,4","5,10,5",1,-1
49,"4,9,5","10,10",2,-1
50,"5,4","7,4,10",0,-1
51,"9,4,10","7,3,2,3,10",1,-1
52,"11,4,4","8,10","1,0",1
53,"7,10,10","6,3,7,10",1,-1
54,"11,6","3,5,7,10",0,1
55,"10,4,10","2,4,11",1,-1
56,"10,10","10,10",0,0
57,"9,6","10,8",0,-1
58,"3,10,2,10","6,5,10","1,1",-1
59,"7,9","10,2,8",0,-1
60,"10,2,5,8","6,11","1,1",-1
61,"11,10","10,10",0,1
62,"6,2","7,2,10",0,-1
63,"2,7,10,7","3,5,3,11,5","1,1",-1
64,"7,11","9,4,7",0,-1
65,"10,9","9,2,11,11,10",0,1
66,"10,3,9","4,4,10",1,-1
67,"3,10,7,6","4,7,6","1,1",-1
68,"8,3,5","10,10",2,-1
69,"10,10,7","5,8,9",1,-1
70,"11,10","10,10",0,1
71,"8,8,10","3,2,8,10",1,-1
72,"9,6,2","10,3,10",2,1
73,"2,8,7","2,8,2,2,5","1,0",-1
74,"8,5,4","11,9",2,-1
75,"3,2,9,10","3,10,4","1,1",-1
76,"5,6,4","10,6,10","3,2",1
76,"5,10","10,6,10","3,2",1
77,"4,10,10","10,10","3,2",-1
77,"4,3","10,10","3,2",-1
78,"10,5,6","2,11,10,7",1,1
79,"10,10,4","3,4,5,6",1,-1
80,"9,8,9","10,2,3,11,8",2,-1
81,"9,11,11","7,7,10",1,1
82,"3,4,10","6,5,7",2,-1
83,"2,10,7","9,10",2,0
84,"5,7,7","10,10",2,-1
85,"11,8,3","9,3,2,10","1,0",1
86,"5,3","10,11",,-1
87,"2,10,2","10,9",2,-1
88,"6,6,6,4","7,10","1,1",-1
89,"10,4,5,10","3,9,11,10","1,1",-1
90,"10,3,5","7,11","1,0",0
91,"10,9","10,5,8",0,1
92,"10,2,7,5","7,10","1,1",-1
93,"10,5,10","10,9",2,-1
94,"10,10,9","6,10,5",1,-1
95,"10,9,10","3,2,11,7,3,8",1,-1
96,"2,6,10,11,5","2,10,7","1,1,1",-1
97,"4,9,4","10,8","1,0",-1
98,"7,10,11,4","8,11","1,1",-1
99,"4,6,10","10,10",2,0
100,"10,2,10","8,10",1,-1
101,"3,8,10","10,5,10",2,1
102,"7,11,2,3,5","5,5,6,10","1,1,1,0",1
103,"10,8,10","5,10,10",1,-1
104,"3,6,9","8,10",2,0
105,"10,7,10","6,6,2,5",2,-1
106,"9,8","10,10",0,-1
107,"4,7,10","4,2,10,5",2,0
108,"8,10","10,10",0,-1
109,"5,4,8,10","6,10,4","1,1",-1
110,"4,2,4,10,4","4,10,10","1,1,1",-1
111,"3,6","7,10",0,-1
112,"10,10","8,8,10",0,1
113,"3,10,10","2,10,11,10",1,-1
114,"8,11,10,11,7","3,10,10","1,1,1",-1
115,"6,10,11,10","8,10","1,1",-1
116,"6,2,2,2,10","4,2,10,7","1,1,1",-1
117,"4,11,7,3,10","8,10","1,1,1",-1
118,"10,10","10,11",,-1
119,"10,2,7","9,4,9",2,1
120,"10,5,5","10,10",2,0
121,"10,7,6","4,8,10",1,-1
122,"2,2,5,10,6","3,5,2,10","1,1,1",-1
123,"10,7,10","5,7,10",1,-1
124,"8,6","10,9",0,-1
125,"6,9","10,2,5",0,-1
126,"10,10","10,10",0,0
127,"8,10,10","7,2,10",1,-1
128,"11,10,6,9","4,10,3","1,1",-1
129,"10,5,11,11,8","5,8,3,4","1,1,1",-1
130,"3,6","7,4,10",0,-1
131,"6,7","11,9",0,-1
132,"9,10","10,4,2,10",0,1
133,"7,11,5","9,9","1,0",-1
134,"7,2,8,4","6,8,10","1,1",1
135,"4,8,10","4,2,9,11,10",1,-1
136,"9,10","10,10",0,-1
137,"7,10,10","3,5,10",1,-1
138,"10,4,5,10","4,8,11,5","1,1",-1
139,"7,6,7","10,9",2,1
140,"5,2,3","8,7,8",2,1
141,"10,3","6,10,10",0,1
142,"2,10,10","10,6,6",2,-1
143,"10,5,2,10","6,9,2","1,1",-1
144,"10,11,10","4,7,10",1,0
145,"4,3,9","9,10",2,-1
146,"9,8,10","3,2,3,2,10",1,-1
147,"6,3,3,6,10","6,10,3","1,1,1",-1
148,"10,11","4,10,5",0,1
149,"3,10,8","8,2,7",2,1
150,"2,10,5,10","2,10,10","1,1",-1
151,"3,8,11,11,5,8","4,3,10","1,1,1,1",-1
152,"4,9,10","6,7,8",1,-1
153,"11,10,9","4,5,6,5",2,0
154,"7,4,11,11,5,3","4,3,7,10","1,1,1,1",1
155,"10,10","9,7,8",0,1
156,"8,3","10,11",,-1
157,"10,6,7","7,3,11",1,-1
158,"6,9,7","9,9",2,-1
159,"9,10","7,5,9",0,-1
160,"2,9,7","9,9",2,0
161,"10,2,4,5","5,8,7","1,1",1
162,"3,10,11,9","5,4,6,3","1,1",-1
163,"4,10,10","10,2,3,10",1,-1
164,"8,11","10,3,10",0,1
165,"10,10","11,4,6",0,-1
166,"10,8,3","2,7,6,4",1,1
167,"4,10,10","10,2,11,3,10",2,-1
168,"11,9","10,7",0,1
169,"4,2,10","8,6,8",2,1
170,"10,7","2,10,10",0,1
171,"11,8,7,11,7","4,10,10","1,1,1",-1
172,"10,8,10","9,6,2",1,-1
173,"10,10,11","5,4,10",1,1
174,"10,6,5","11,6",2,1
175,"9,10,10","10,10",1,-1
176,"7,10,7","8,10",1,-1
177,"2,3,10","5,8,2,10",2,1
178,"2,6,4","8,11",2,-1
179,"10,6,6","8,9",1,-1
180,"4,7,2,10","7,8,7","1,1",-1
181,"2,10,9","5,10,6",2,0
182,"6,7,3","8,10",2,-1
183,"10,9,11","10,10","1,0",0
184,"6,8,10","4,10,10",1,-1
185,"10,11","11,9",0,1
186,"11,3,2,8,7","3,3,8,9","1,1,1",1
187,"3,2,10","5,10,9",2,1
188,"10,5,5","10,10",2,0
189,"3,10,3,10","2,10,4,7","1,1",-1
190,"10,5,2,9","4,10,6","1,1",-1
191,"6,10,5","9,6,10",2,1
192,"5,10,10","10,5,7",2,-1
193,"10,8,7","3,8,10",1,-1
194,"10,10,4","7,4,11,7",1,-1
195,"8,10,7","3,8,8",2,-1
196,"9,2,4","9,5,11,6",2,-1
197,"11,10","8,8,4",0,1
198,"7,4,10","2,2,10,10",1,1
199,"2,11,5","8,6,9","3,2",1
199,"2,4","8,6,9","3,2",1
200,"4,2,7","10,5,3",2,-1
201,"6,11,10,5","5,10,11,11","1,1",-1
202,"10,7,10","9,7,9",1,-1
203,"11,10","9,10",0,1
204,"11,6,9,11,5","5,7,6","1,1,1",-1
205,"6,4,10,6","5,10,7","1,1",-1
206,"2,3","10,10",0,-1
207,"4,10,3","10,9",2,-1
208,"3,2,8,4,2,10","2,5,10","3,1,1,1,1",-1
208,"3,10","2,5,10","3,1,1,1,1",-1
209,"11,4,10","7,9,4","1,0",-1
210,"10,10","11,6",0,1
211,"5,10,7","3,5,10",1,-1
212,"10,10,11","5,8,10",1,1
213,"8,7,10","10,5,7",2,-1
214,"7,10","2,10,8",0,-1
215,"4,7,6","8,3,10",2,-1
216,"3,7","11,10",,-1
217,"10,10","6,7,10",0,1
218,"10,2,4,4,3","4,7,10","1,1,1",-1
219,"6,8,9","10,10",2,-1
220,"3,6,11,6,10","2,10,8","1,1,1",-1
221,"6,9,10","10,10",2,-1
222,"3,11,10","10,6,11",2,-1
223,"9,9,10","8,10",1,-1
224,"10,10","7,9,10",0,1
225,"9,10,11,11","4,6,2,10","1,1",1
226,"5,2,10","8,10",2,-1
227,"2,10,6,5","4,10,3","1,1",-1
228,"4,2,7,11,3","3,5,10","1,1,1,0",-1
229,"10,11","2,10,10",0,1
230,"5,5,10,5","4,5,6,10","1,1",-1
231,"4,4,2","9,11",2,-1
232,"10,9,8","3,7,4,3",1,-1
233,"10,9","10,11",,-1
234,"10,3,11,10","3,10,10","1,1",-1
235,"2,7,8,4","5,6,9","1,1",1
