round,player_hand,dealer_hand,actions,reward
152,"6,10,2,7","8,10","3,1,1",-1
152,"6,5","8,10","3,1,1",-1
153,"8,11","7,3,2,2,10",0,1
154,"10,8,10","10,7",1,-1
155,"11,4,4","2,3,4,3,8","1,0",-1
156,"8,5,10","11,7",1,-1
157,"4,10,10","5,2,8,5",1,-1
158,"5,10,3,11,10","10,10","1,1,1",-1
159,"5,4,4,5,5","5,9,2,4","1,1,1",-1
160,"9,7,10","9,3,2,10",1,-1
161,"6,3,6","6,8,10",2,1
162,"8,7,8","10,10",2,-1
163,"10,9","2,10,9",0,-1
164,"10,9","5,11,3",0,0
165,"10,10","5,10,7",0,1
166,"10,10,9","10,4,6",1,-1
167,"10,2,10","6,11",2,-1
168,"9,9,11,10","10,6,10","1,1",-1
169,"10,9,10","3,6,8",1,-1
170,"7,3","9,5,5",0,-1
171,"10,2,10","8,10",1,-1
172,"2,10,8,3","9,10","1,1",-1
173,"11,6,11,4,7,6","8,10","1,1,1,1",-1
174,"2,10,4,4,2","8,10","1,1,1",-1
175,"10,6,5","10,4,11,10",1,1
176,"7,10,10","10,9",1,-1
177,"6,4,10,10","3,11,2,5","1,1",-1
178,"9,10,2","6,11",1,1
179,"3,9","10,4,10",0,1
180,"10,4,10","2,5,6,10",1,-1
181,"4,10,9","9,10",1,-1
182,"9,7,7","2,8,5,10",1,-1
183,"3,9","8,10",0,-1
184,"7,6,10","10,6,10",2,-1
185,"10,11,3,2,5","4,6,10","1,1,1",1
186,"8,10,5","5,2,9,10",1,-1
187,"8,10,11,7","10,3,10","1,1",-1
188,"10,10,2","4,6,10",1,-1
189,"7,4,5,4,11","5,6,5,6","1,1,1",1
190,"3,2","8,8,10",0,1
191,"10,10,10","10,7",1,-1
192,"4,7","8,4,11,10",0,1
193,"5,11,5","10,3,6",1,1
194,"3,3","7,5,9",0,-1
195,"3,4","10,11",,-1
196,"7,10","10,11",,-1
197,"2,4","9,8",0,-1
198,"4,11","11,2,5",0,-1
199,"11,8,10,7","6,10,10","1,1",-1
200,"7,2","10,7",0,-1
201,"6,10,7","10,10",1,-1
202,"4,3","7,9,5",0,-1
203,"4,10","10,11",,-1
204,"11,10,11","10,6,7","1,0",1
205,"5,10,4,6","8,11","1,1",-1
206,"10,7,11,10","4,10,2,11","1,1",-1
207,"2,9,10","3,2,4,10",1,1
208,"6,9,10","8,5,8",1,-1
209,"7,10,2,10","2,10,4,10","1,1",-1
210,"5,11,11","10,2,9",2,-1
211,"10,2,3,10","5,5,9","1,1",-1
212,"10,4,7","10,9",2,1
213,"10,10,10","10,5,6",1,-1
214,"8,8,8","5,6,5,9",1,-1
215,"10,3,10","3,6,2,10",1,-1
216,"10,3,9","3,8,3,6",1,-1
217,"3,10,10","8,6,10","3,3,1",-1
217,"3,2","8,6,10","3,3,1",1
217,"3,2","8,6,10","3,3,1",1
218,"11,10","2,3,4,8",0,1
219,"10,3","6,3,4,10",0,1
220,"5,10,10","10,8",2,-1
221,"10,11","2,2,10,5",0,1
222,"10,4,8","2,8,10",1,-1
223,"3,7,7,7","10,7","1,1",-1
224,"8,5,10","4,8,7",1,-1
225,"10,6,6","7,10",1,-1
226,"7,10,10","10,6,10",1,-1
227,"6,4,3,9","8,5,11,10","1,1",-1
