round,player_hand,dealer_hand,actions,reward
0,"10,5,10","10,7",1,-1
1,"2,3","8,10",0,-1
2,"10,10","10,4,4",0,1
3,"10,10","10,11",,-1
4,"8,5,5","10,5,11,2",2,0
5,"8,6,10","9,3,2,4",1,-1
6,"4,2","10,10",0,-1
7,"10,3,10","9,4,7",2,-1
8,"10,7,5","2,9,9",1,-1
9,"7,2","5,10,6",0,-1
10,"4,10,5,6","4,10,4","3,1,1",-1
10,"4,9","4,10,4","3,1,1",-1
11,"10,11","4,11,10,8","3,3,3,3",1
11,"10,7","4,11,10,8","3,3,3,3",1
11,"10,10","4,11,10,8","3,3,3,3",1
11,"10,9","4,11,10,8","3,3,3,3",1
11,"10,10","4,11,10,8","3,3,3,3",1
12,"10,11","9,4,10",0,1
13,"9,8,11","10,7",2,1
14,"11,10,10","5,8,8",1,0
15,"3,7,2","10,9",2,-1
16,"7,6,5,10","6,10,7","1,1",-1
17,"2,4,10","3,10,10",2,1
18,"2,9","4,2,3,5,7",0,-1
19,"10,5,10","8,4,2,11,4",1,-1
20,"10,11","2,6,3,9",3,1
20,"10,4","2,6,3,9",3,-1
21,"10,5,10","10,6,2",2,-1
22,"11,10","3,9,3,2",0,1
23,"10,8,10","6,8,9",1,-1
24,"5,2,11","5,10,3",2,0
25,"8,8","6,11",0,-1
26,"10,8,10","10,3,9",1,-1
27,"2,8,6","10,7",2,-1
28,"11,6,9,5","3,7,8","1,1",1
29,"10,10","9,3,10",0,1
30,"4,10,5","10,6,7",2,1
31,"9,11","10,4,8",0,1
32,"3,10,10","6,11",1,-1
33,"10,7,2","10,5,6",2,-1
34,"6,11,4","2,9,10",1,0
35,"4,3","11,9","3,0",-1
35,"4,11","11,9","3,0",-1
36,"10,8,3","4,9,11,7",2,0
37,"10,7,2,10","2,10,5","1,1",-1
38,"8,10,6","10,7",1,-1
39,"9,8,6","6,10,2",1,-1
40,"3,10,10","10,10","3,2",-1
40,"3,6","10,10","3,2",-1
41,"8,10,3","2,7,3,8",1,1
42,"6,4","4,7,2,10",0,1
43,"5,10,4","3,10,10","1,0",1
44,"2,5","4,2,10,5",0,-1
45,"10,7","11,10",,-1
46,"8,5,4,2,10","3,9,7","1,1,1",-1
47,"8,10,8","5,2,4,8",1,-1
48,"10,7,10","5,10,10",1,-1
49,"10,9,6","10,6,11",1,-1
50,"9,11","8,10",0,1
51,"10,7,9","8,10",1,-1
52,"11,7,3","11,2,6",2,1
53,"2,2","11,11,10,10",0,1
54,"10,3,5,3","2,9,7","3,1,1",1
54,"10,6","2,9,7","3,1,1",-1
55,"2,5","10,8",0,-1
56,"5,10,10","3,7,8","3,1",-1
56,"5,9","3,7,8","3,1",-1
57,"10,10","9,9",0,1
58,"5,2,6","6,7,10",2,1
59,"9,8,6","10,3,4",2,-1
60,"5,11,10","10,4,10",2,1
61,"10,4,3,11,8","3,8,8","1,1,1",-1
62,"9,10","2,10,7",0,0
63,"9,7,6","6,6,2,10",1,-1
64,"11,10","7,4,3,11,9",0,1
65,"10,8,4","5,10,10",1,-1
66,"4,10,9","9,5,10",2,-1
67,"8,10,10","10,10",1,-1
68,"10,8,3","11,9",2,1
69,"2,7","4,2,10,3","3,0",-1
69,"2,8","4,2,10,3","3,0",-1
70,"4,3","9,6,7",0,1
71,"11,7,7,2,11,9","4,3,9,7","1,1,1,1",-1
72,"5,10,9","10,4,9",2,-1
73,"10,4,10","2,10,10",1,-1
74,"4,8,10","9,10",2,-1
75,"6,7,8","10,10",2,1
76,"10,10,4","11,2,7",1,-1
77,"11,6,10","10,9",2,-1
78,"10,3,10","9,8",2,-1
79,"6,9,2","10,9",2,-1
80,"10,7,10","10,4,7",2,-1
81,"10,6,3,5","4,8,10","1,1",-1
82,"10,10","5,10,4",0,1
83,"2,7","3,10,11,7",0,-1
84,"11,5,11,10,9","3,10,7","1,1,1",-1
85,"2,4,3","5,10,4",2,-1
86,"2,10,5","10,2,8",2,-1
87,"10,8,6","10,5,7",2,-1
88,"8,7,9","4,10,10",1,-1
89,"8,4,2","8,11",2,-1
90,"10,3,2","10,10",2,-1
91,"4,6,2","8,11",2,-1
92,"2,3","10,10",0,-1
93,"11,9","3,11,11,3",0,1
94,"8,10,10","5,2,10",1,-1
95,"10,4,8","6,10,2",1,-1
96,"3,10","8,9",0,-1
97,"11,6,10","11,5,7,10",2,1
98,"10,3","4,5,5,7",0,-1
99,"4,10,10","4,6,9",1,-1
100,"9,10","8,9",0,1
101,"7,3","4,2,10,9",0,1
102,"11,2,8","10,10",2,1
103,"10,5,6","11,9",2,1
104,"4,10,6","6,10,10","1,0",1
105,"8,6,11,10","6,6,4,8","1,1",-1
106,"10,10","10,11",,-1
107,"10,10","6,10,10",0,1
108,"7,10,5","10,9",2,-1
109,"8,10,9","10,10",2,-1
110,"9,7,5","10,4,5",2,1
111,"5,8,10","4,4,10",1,-1
112,"10,3,10","10,6,6",2,-1
113,"4,11,11,7,5,10","3,11,2,9,3","1,1,1,1",-1
114,"3,2","7,8,8",0,1
115,"10,3,2,4,10","2,11,6","1,1,1",-1
116,"10,10","9,2,11,10","3,0",1
116,"10,9","9,2,11,10","3,0",1
117,"7,9,2,11,2","5,10,5","1,1,1",1
118,"9,10","10,11",,-1
119,"2,6,4","7,9,10",2,1
120,"10,2","5,11,10,9",0,1
121,"4,10,8","4,4,7,4",1,-1
122,"11,10","11,10",,0
123,"3,11,11,3,10,5","3,8,11,3,9","1,1,1,1",-1
124,"10,3,10","3,3,10,10",1,-1
125,"4,11,4","7,9,2","1,0",1
126,"6,9,9","5,8,10",1,-1
127,"10,10","8,3,10",0,-1
128,"10,10","9,5,8",0,1
129,"7,5,8","8,10",2,1
130,"10,11","10,8",0,1
131,"2,10,10","11,8",2,-1
132,"10,10","6,10,7",0,1
133,"2,10,10","2,10,4,6",1,-1
134,"5,11,8","8,2,7",2,-1
135,"10,9,3","10,9",1,-1
136,"5,7,4","3,3,10,9",2,1
137,"6,2,6","7,4,3,10",2,1
138,"10,7,10","2,8,3,10",1,-1
139,"4,9,11","8,5,7",2,-1
140,"5,11,2,10,4","2,3,10,9","3,1,1,1",-1
140,"5,10","2,3,10,9","3,1,1,1",1
141,"10,6,3","4,10,10","1,0",1
142,"10,10","2,10,5",0,1
143,"10,3","6,6,3,7",0,1
144,"10,8,10","6,10,10",1,-1
145,"9,8,11","8,11","3,3,1,0",-1
145,"9,10","8,11","3,3,1,0",0
145,"9,5","8,11","3,3,1,0",-1
146,"4,3","10,3,4",0,-1
147,"5,10,9","10,10","3,2",-1
147,"5,6","10,10","3,2",-1
148,"2,9,10","11,11,10,9",2,0
149,"3,5,6","2,10,5",2,-1
150,"10,2,5,6","6,6,5","1,1",-1
151,"3,10,10","7,10",2,-1
152,"2,10,10","7,10",2,-1
153,"7,10,4","3,8,7",1,1
154,"10,6,5","5,4,6,9",1,1
155,"9,10,10","2,9,11,8",1,-1
156,"11,10","2,6,8,6",0,1
157,"10,5,10","5,10,3","3,1",-1
157,"10,10","5,10,3","3,1",1
158,"10,7,11,8","8,6,11,10","1,1",-1
159,"10,10,2","10,6,3",1,-1
160,"6,5","6,3,8",0,-1
161,"10,4,4","10,9",2,-1
162,"3,11,10,3,6","4,11,2","1,1,1",-1
163,"6,5,11","3,8,5,4",2,-1
164,"10,4","11,10",,-1
165,"10,5,10","11,2,2,5",2,-1
166,"3,7,2","9,7,4",2,-1
167,"6,5,5","10,9",2,-1
168,"10,11","10,11",,0
169,"3,4","8,10",0,-1
170,"10,9,8","5,9,7",1,-1
171,"4,2","10,3,11,10",0,1
172,"2,10,11","8,10",2,-1
173,"9,10,5","6,4,2,8",1,-1
174,"10,8,5","4,10,10",1,-1
175,"10,5,10","4,5,4,10",1,-1
176,"7,9","10,11",,-1
177,"6,9,4","10,10",2,-1
178,"11,5,6","11,11,10,2,7","1,0",-1
179,"8,10,3","4,10,10",1,1
180,"10,2","5,6,10","3,0",-1
180,"10,6","5,6,10","3,0",-1
181,"10,7,9","9,10",2,-1
182,"10,2","2,7,10",0,-1
183,"6,10","10,4,6",0,-1
184,"9,7","4,5,10",0,-1
185,"10,3,8","2,7,10",1,1
186,"10,4,10","3,2,10,7","3,3,3,3,3,1",-1
186,"10,6","3,2,10,7","3,3,3,3,3,1",1
186,"10,10","3,2,10,7","3,3,3,3,3,1",1
186,"10,8","3,2,10,7","3,3,3,3,3,1",1
186,"10,6","3,2,10,7","3,3,3,3,3,1",1
186,"10,10","3,2,10,7","3,3,3,3,3,1",1
187,"10,2,5","10,5,8",2,1
188,"9,9,9","6,6,8",1,-1
189,"10,2","6,3,11",0,-1
190,"10,2,9","8,8,10",2,1
191,"4,9,6","4,10,10",2,1
192,"10,4,5,10","2,10,6","1,1",-1
193,"7,3,4","10,6,5",2,-1
194,"3,10,10","10,5,10",2,-1
195,"6,8","6,7,2,3",0,-1
196,"7,4","5,4,10",0,-1
197,"8,7","10,11",,-1
198,"2,10,9","7,2,6,6",2,0
199,"10,4,5,4","5,5,11","1,1",-1
200,"2,6","3,10,3,4",0,-1
201,"10,7","10,11",,-1
202,"9,5,9","10,10",2,-1
203,"9,10,9","10,8",2,-1
204,"2,4","10,4,9",0,1
205,"10,5,3,2,10","6,4,10","1,1,1",-1
206,"2,10,10","10,9",2,-1
207,"8,11,5","10,10",2,-1
208,"7,8,2","10,10",2,-1
209,"10,9,6","7,5,10",1,-1
210,"11,5","8,7,7",0,1
211,"10,5,8","11,6","3,2",-1
211,"10,3","11,6","3,2",-1
212,"6,4","4,11,10,9",0,1
213,"10,11,3","10,9","1,0",-1
214,"9,10,11,9","4,10,7","1,1",-1
215,"6,5,10","9,8",2,1
216,"10,8,2,6","4,3,5,7","1,1",-1
217,"10,6,10","6,2,10",1,-1
218,"6,9,7","2,2,3,7,11,8",1,-1
219,"2,10","4,10,2,5",0,-1
220,"10,5","10,11",,-1
221,"4,7,3","10,8",2,-1
222,"8,5","11,10",,-1
223,"10,10,4","9,9",1,-1
224,"4,10","7,8,10",0,1
225,"4,10,10","8,7,4",2,-1
226,"3,6,10","10,10",2,-1
227,"5,4,10","9,11",2,-1
228,"9,8,11","10,10",2,-1
229,"10,8,10","11,7","3,3,2",-1
229,"10,3","11,7","3,3,2",-1
229,"10,10","11,7","3,3,2",1
230,"10,11,6,8","2,10,7","1,1",-1
231,"6,10,2","11,8",2,-1
232,"2,3","5,8,8",0,-1
233,"2,10,10","10,7",2,-1
234,"10,2,3","10,9",2,-1
235,"3,10","7,3,10",0,-1
236,"10,3,5","10,2,9","3,3,2",-1
236,"10,11","10,2,9","3,3,2",0
236,"10,9","10,2,9","3,3,2",-1
237,"7,8,9","3,9,10",1,-1
238,"9,11,9","4,9,10","1,0",1
239,"5,7","10,11",,-1
240,"2,5","10,2,6",0,-1
241,"7,10,5","6,2,10",1,-1
242,"10,3,2","10,8","3,2",-1
242,"10,2","10,8","3,2",-1
243,"9,10,10","6,2,11",1,-1
244,"9,6","3,10,8",0,-1
245,"7,5,10","9,3,10","3,1",-1
245,"7,10","9,3,10","3,1",1
246,"5,11,5","10,8",2,1
