round,player_hand,dealer_hand,actions,reward
0,"3,5,7","10,5,10",2,1
1,"10,10","10,9",0,1
2,"3,10,10","10,6,7","3,2",-1
2,"3,10","10,6,7","3,2",1
3,"11,4,2","9,2,10",2,-1
4,"6,7,5","10,3,8",2,-1
5,"7,11,4,6,9","3,5,10","1,1,1",-1
6,"7,11","9,6,8",0,1
7,"10,9,10","3,5,10",1,-1
8,"7,4,9","10,4,11,2",2,1
9,"4,4","10,11",,-1
10,"3,11,10","10,10",2,-1
11,"10,11","5,7,10",0,1
12,"6,10,7","2,10,10",1,-1
13,"4,10,6","3,10,2,10","1,0",1
14,"4,8,6","10,10",2,-1
15,"10,3,8","2,8,10",1,1
16,"5,10,2,5","8,10","1,1",-1
17,"2,8,10,4","2,10,3,10","1,1",-1
18,"2,10,10","9,7,2",2,-1
19,"2,10,10","5,4,3,11,2,6",1,-1
20,"3,8","11,10",,-1
21,"7,6","11,10",,-1
22,"2,9,6","8,2,11",2,-1
23,"10,7","10,4,11,3",0,-1
24,"10,9,10","6,7,10",1,-1
25,"5,9,10","7,10","3,1",-1
25,"5,10","7,10","3,1",-1
26,"4,6,7,8","5,6,10","1,1",-1
27,"4,3","4,10,4",0,-1
28,"11,6","6,4,11","3,0",-1
28,"11,10","6,4,11","3,0",0
29,"2,7,5","8,9",2,-1
30,"6,10,10","3,6,10",1,-1
31,"10,8,11","2,10,6",2,1
32,"4,3,10","9,2,10",2,-1
33,"7,10,4","3,7,3,10",1,1
34,"10,8,2","10,10","1,0",0
35,"9,10","10,8",0,1
36,"3,10,10","9,10",2,-1
37,"9,5,8","10,5,11,3",2,-1
38,"6,9,10","11,2,8",2,-1
39,"3,8,9","9,11",2,0
40,"10,2,10","6,7,10",1,-1
41,"10,7,10","8,10",1,-1
42,"10,4,3","10,3,7",2,-1
43,"5,10,10","10,9",2,-1
44,"4,10,4","10,2,6",2,0
45,"11,3,5","11,8",2,0
46,"7,8,10","4,5,5,10",1,-1
47,"10,2,10","8,6,11,9",1,-1
48,"10,2,8","10,10",2,0
49,"10,10","9,4,10",0,1
50,"3,10,10","10,10",2,-1
51,"3,8,9","8,3,10",2,-1
52,"10,10","5,11,3",0,1
53,"10,5,5,2","2,3,6,7","3,1,1",-1
53,"10,11","2,3,6,7","3,1,1",1
54,"10,4,8","5,10,5",2,-1
55,"9,8","9,10",0,-1
56,"10,9","8,3,10",0,-1
57,"10,9,6","5,4,10",1,-1
58,"10,6,2","9,2,10","1,0",-1
59,"10,11","4,3,2,10",3,1
59,"10,10","4,3,2,10",3,1
60,"7,10,6","4,2,10,10",1,-1
61,"8,10,2,3","3,4,11","1,1",-1
62,"11,7,7,2,3,9","4,10,8","1,1,1,1",-1
63,"3,10,7","10,6,8",2,1
64,"5,7,3,5,10","5,6,9","3,1,1,1",-1
64,"5,6","5,6,9","3,1,1,1",-1
65,"7,9,10","10,3,6",2,-1
66,"6,2,7","6,11",2,-1
67,"11,10","9,11",0,1
68,"4,2","10,11",,-1
69,"10,11,9","2,2,10,9",2,1
70,"4,6,8","7,4,2,9",2,1
71,"10,10","10,8",0,1
72,"11,10","10,7",0,1
73,"10,5,10","7,9,10","3,1",-1
73,"10,8","7,9,10","3,1",1
74,"9,6,4,10","2,8,7","1,1",-1
75,"10,7,6","11,3,6",1,-1
76,"8,4,10","5,10,10",1,-1
77,"7,3,10","8,3,9",2,0
78,"5,10,7","6,10,10",1,-1
79,"10,5,3","4,10,3","1,0",1
80,"6,5,10","10,10",2,1
81,"11,4","11,10",,-1
82,"7,3","4,8,10",0,1
83,"11,5,11,10,10","5,4,10","1,1,1",-1
84,"10,2,7","11,2,3,10,11",2,1
85,"4,10,5","10,7",2,1
86,"2,10,10","3,11,11,8,11,3",1,-1
87,"10,7","10,2,7",0,-1
88,"10,7","10,10",0,-1
89,"2,8,10","10,9",2,1
90,"4,9,3,10","5,7,10","1,1",-1
91,"10,6,5","8,9",1,1
92,"8,6,10","10,6,3",2,-1
93,"8,10,10","3,10,5",1,-1
94,"9,10","10,8",0,1
95,"8,5,5","8,10","3,2",0
95,"8,11","8,10","3,2",1
96,"7,2,11","10,5,10",2,1
97,"3,11,3","10,10",2,-1
98,"11,4,7","9,10",2,-1
99,"6,8,10","7,8,5",1,-1
100,"10,8,6","11,3,3",2,-1
101,"10,10,4","2,11,8",2,-1
102,"10,2,8","10,10",2,0
103,"10,2,5,10","9,9","1,1",-1
104,"10,6,5","2,10,2,6",1,1
105,"11,10","10,2,2,10",0,1
106,"2,9,3,2,2,10","3,6,10","1,1,1,1",-1
107,"6,9,10","10,10",2,-1
108,"10,9","10,5,11,4",0,-1
109,"3,5","2,10,4,10",0,1
110,"6,3,4","6,7,4",2,-1
111,"2,9,10","2,10,10",1,1
112,"10,10,10","2,9,3,3",1,-1
113,"6,10,8","5,2,4,4,9",1,-1
114,"6,3","11,10",,-1
115,"9,5,5,8","2,2,5,4,9","1,1",-1
116,"8,7,4,10","7,9,10","1,1",-1
117,"10,8","10,9",0,-1
118,"10,4,11","9,7,5",2,-1
119,"5,10,6","10,3,10","3,2",1
119,"5,10","10,3,10","3,2",1
120,"11,4,10","10,10",2,-1
121,"6,8,7","10,8","3,2",1
121,"6,10","10,8","3,2",-1
122,"4,8,2","10,5,10",2,1
123,"10,6,10","4,8,8",1,-1
124,"6,7,3","11,7",2,-1
125,"4,10,10","7,3,2,10",1,-1
126,"10,4,2","11,11,3,2",2,-1
127,"3,2,10","9,10",2,-1
128,"10,3,10","9,10",2,-1
129,"10,6,9","3,9,8",1,-1
130,"3,9,11,4,2,5","2,10,5","1,1,1,1",-1
131,"6,9,9","3,10,9",1,-1
132,"3,9,7","10,7",2,1
133,"7,4","11,10",,-1
134,"2,9,10","8,10",2,1
135,"2,5,10","10,10",2,-1
136,"11,10","10,7",0,1
137,"11,10","10,2,6",0,1
138,"10,4,11,5,10","6,8,10","1,1,1",-1
139,"7,4,8","9,10","3,2",0
139,"7,10","9,10","3,2",-1
140,"4,9,4","10,10",2,-1
141,"4,10,11","8,10",2,-1
142,"10,10","10,10",0,0
143,"9,11","10,3,10","3,0",1
143,"9,8","10,3,10","3,0",1
144,"2,6","3,10,9",0,1
145,"5,3,5","8,2,8","3,2",-1
145,"5,2","8,2,8","3,2",-1
146,"11,10","5,4,3,10",0,1
147,"3,11,5,10,6","5,3,6,10","1,1,1",-1
148,"9,6,10","11,8",2,-1
149,"10,10","10,7",0,1
150,"10,5,8","7,10",1,-1
151,"5,10,9","2,9,10",1,-1
152,"10,10","5,7,2,6",0,0
153,"7,7,9","5,8,10",1,-1
154,"10,10","6,7,6",0,1
155,"10,6,9","2,4,5,4,3",1,-1
156,"10,3,10","5,11,8,8",1,-1
157,"8,2,10","10,10",2,0
158,"10,4,3,10","4,4,11","1,1",-1
159,"8,9,8","6,3,8",1,-1
160,"11,11,6,3","4,10,4","1,1",1
161,"5,2","2,6,9",0,-1
162,"10,9","11,10",,-1
163,"9,6,10","10,4,7",2,-1
164,"10,5,6","10,7",2,1
165,"10,5,10","10,2,2,10",2,-1
166,"3,11,6","9,10",2,1
167,"8,8,8","4,4,10",1,-1
168,"7,2,3","7,9,10",2,1
169,"5,11,10","10,5,10",2,1
170,"3,9,7","10,8",2,1
171,"2,10","11,8",0,-1
172,"6,8,4","9,9",2,0
173,"6,10,3","9,10",2,0
174,"2,10,7","10,3,10",2,1
175,"6,4","4,6,10",0,-1
176,"3,5,6","8,10",2,-1
177,"10,3,9","10,3,10",2,-1
178,"5,11,8,7","4,10,3","1,1",1
179,"2,10,4,10","4,10,6","3,1,1",-1
179,"2,2","4,10,6","3,1,1",-1
180,"6,10,9","10,10",2,-1
181,"6,11,10,7","5,7,10","1,1",-1
182,"10,10","10,5,10",0,1
183,"10,10","11,7",0,1
184,"11,10,4","2,11,4",2,-1
185,"4,3,5","6,8,4","3,2",-1
185,"4,7","6,8,4","3,2",-1
186,"10,7,11","11,3,11,4",2,-1
187,"4,10,9","10,4,4",2,-1
188,"10,10","10,10",0,0
189,"4,5,3","10,2,10",2,1
190,"10,10","6,7,5",0,1
191,"11,10","2,8,2,3,8",0,1
192,"9,3","11,10",,-1
193,"3,11,5","10,3,7",2,-1
194,"8,4,5","10,10",2,-1
195,"11,2,7","3,7,10","1,0",0
196,"11,2,10,5,9","5,10,5","1,1,1",-1
197,"10,5","11,10",,-1
198,"3,5,10","9,2,8",2,-1
199,"10,3,9","10,3,7",2,-1
200,"7,4,11","9,11",2,-1
201,"7,10,2","4,4,2,10","1,0",-1
202,"11,11,6,3","4,11,5","1,1",1
203,"9,4,3","8,5,10",2,1
204,"2,9,8","5,11,3","1,0",0
205,"11,7","10,4,10",0,1
206,"7,10","10,7",0,0
207,"6,6","10,11",,-1
208,"11,10","7,8,7",0,1
209,"10,6,7","5,9,9",1,-1
210,"8,10,3","9,9",2,1
211,"10,10","10,11",,-1
212,"4,9,10","2,2,9,10",1,-1
213,"3,10,10","10,6,2",2,-1
214,"10,5,2,10","6,2,8,3","1,1",-1
215,"7,10,3","3,4,9,11","1,0",1
216,"10,3,10","10,2,9",2,-1
217,"6,4,10,3","4,4,10","1,1",-1
218,"6,10,5","4,10,10",1,1
219,"2,6","10,10",0,-1
220,"8,10","10,9","3,0",-1
220,"8,10","10,9","3,0",-1
221,"10,10","6,10,7",0,1
222,"5,6,5","9,2,6",2,-1
223,"4,8,10","5,10,4",1,-1
224,"8,5,10","3,8,2,9",1,-1
225,"9,4,10","5,3,2,10",1,-1
226,"6,4,10","8,5,10",2,1
227,"9,10,10","3,8,7",1,-1
228,"10,10","10,3,6",0,1
229,"11,2,11","10,10",2,-1
230,"9,10","10,10",0,-1
231,"10,11","2,11,2,7,10",3,1
231,"10,10","2,11,2,7,10",3,1
232,"10,8,10","3,6,9",1,-1
233,"7,5,3","10,10",2,-1
234,"5,10,6","10,2,6",2,1
235,"10,10","7,10",0,1
236,"10,6,4","10,10",2,0
237,"10,10","10,8",0,1
238,"11,9","8,8,6",0,1
239,"2,7,10,10","4,3,9,9","1,1",-1
240,"5,3,8,7","4,10,2,10","1,1",-1
241,"11,5,8","10,6,9",2,1
242,"10,11","10,4,10",0,1
243,"10,9,10","2,2,9,3,10",1,-1
244,"11,2","11,10",,-1
245,"4,9,3,10","6,10,8","1,1",-1
246,"11,4,3","8,4,5",2,1
247,"5,9,2","10,2,10",2,1
