round,player_hand,dealer_hand,actions,reward
0,"10,11","11,6",0,1
1,"10,4,10","8,3,7",2,-1
2,"6,8,10","10,3,4",2,-1
3,"2,7,10","2,11,5",2,1
4,"4,5,5","11,8",2,-1
5,"10,3,9","10,10",2,-1
6,"10,10,9","3,10,2,8",1,-1
7,"9,5,7","8,10",2,1
8,"10,9,10","8,6,9",1,-1
9,"10,11","2,2,10,10",0,1
10,"10,10,9","3,7,10",1,-1
11,"10,3,8","10,10",2,1
12,"5,3,9","10,5,10",2,1
13,"8,11,5,10","5,8,10","1,1",-1
14,"9,2,4","10,6,2",2,-1
15,"7,2,5","2,8,10",2,-1
16,"4,6,4","4,7,6",2,-1
17,"7,11,9,7","4,11,10,11,8","1,1",-1
18,"10,10,6","2,4,9,10",1,-1
19,"9,6,7","6,10,10",1,-1
20,"6,11,6","6,5,4,10","1,0",1
21,"10,10,9","9,10",1,-1
22,"10,8,9","6,6,2,7",1,-1
23,"10,4,3","11,6",2,0
24,"2,7,4","11,5,11",2,-1
25,"10,10,2","7,11",1,-1
26,"6,10,3,3","4,6,10","1,1",-1
27,"8,10,5","3,11,10,10",1,-1
28,"4,10,5,2","3,10,10","1,1",1
29,"10,5,3,7","3,10,7","1,1",-1
30,"3,2","10,5,4",0,-1
31,"10,2,10","4,8,10",2,-1
32,"10,10,10","8,11",1,-1
33,"10,8,9","3,10,6",1,-1
34,"9,8,10","4,10,5",1,-1
35,"10,11","9,10",0,1
36,"10,4,7","9,5,10",2,1
37,"10,5,4","10,10",2,-1
38,"9,3,10","6,7,2,11,4",2,-1
39,"5,10,7","8,7,8","3,2",-1
39,"5,8","8,7,8","3,2",1
40,"3,6,10","10,9",2,0
41,"6,10,10","5,7,10",1,-1
42,"10,8,10","2,10,5",1,-1
43,"3,2,2,10","10,4,10","1,1,0",1
44,"10,8,5","8,10",1,-1
45,"9,5,10","10,6,2",2,-1
46,"6,9,10","10,3,10",2,-1
47,"10,5,8","6,3,3,10",1,-1
48,"3,10,10","2,3,11,7,9","3,3,1",-1
48,"3,9","2,3,11,7,9","3,3,1",1
48,"3,2","2,3,11,7,9","3,3,1",1
49,"9,10,2","10,10","3,1",1
49,"9,5","10,10","3,1",-1
50,"5,7,7","5,5,10",2,-1
51,"8,10,4","11,2,11,6",2,-1
52,"3,7,11","11,11,8",2,1
53,"3,6,10","6,2,10",2,1
54,"11,10","10,10","3,3,3,3",1
54,"11,10","10,10","3,3,3,3",1
54,"11,10","10,10","3,3,3,3",1
54,"11,6","10,10","3,3,3,3",-1
54,"11,11","10,10","3,3,3,3",-1
55,"6,10,10","10,10",2,-1
56,"4,6,10","11,4,2","3,2",1
56,"4,7","11,4,2","3,2",-1
57,"10,4,7","8,3,11,8",2,1
58,"9,6,8","10,8",2,-1
59,"9,10,8","2,4,3,5,9",1,-1
60,"8,8","11,10",,-1
61,"10,7,3","9,10","1,0",1
62,"10,8,7","7,11",1,-1
63,"10,4,4","10,4,10",2,1
64,"10,10","3,10,10",0,1
65,"5,10,10","2,7,2,5,10",1,-1
66,"10,2,10","7,7,4",2,-1
67,"8,10,10","4,9,11,4",1,-1
68,"10,10","10,9",0,1
69,"4,10,10","4,6,11",1,-1
70,"7,6","11,10",,-1
71,"10,10","10,5,10",0,1
