round,player_hand,dealer_hand,actions,reward
0,"3,2","10,2,4,9",0,1
1,"4,6,9","10,10",2,-1
2,"3,7,5","10,10",2,-1
3,"9,9,10","6,10,5",1,-1
4,"7,6,10","11,2,4","3,2",-1
4,"7,10","11,2,4","3,2",0
5,"5,10,6","4,7,10",1,0
6,"2,10","2,11,10,8",0,-1
7,"10,3,8","7,10",2,1
8,"9,7,2","8,8,10",2,1
9,"10,11","5,5,5,7",0,1
10,"11,2,10","6,10,6",2,1
11,"10,3,10","7,10",2,-1
12,"2,10,10","4,11,9,10",2,-1
13,"10,10","6,3,5,10",0,1
14,"6,10,2,11,4","4,4,3,6","1,1,1",-1
15,"6,2,3","7,10",2,-1
16,"9,6,2","10,5,11,8",2,1
17,"2,10,2","7,10",2,-1
18,"10,8,7","4,2,5,5,4",1,-1
19,"9,8,9","8,8,5",1,-1
20,"10,10","5,10,3",0,1
21,"10,4,9","7,10",2,-1
22,"10,6,4","6,6,10","1,0",1
23,"3,10,5","10,10",2,-1
24,"8,10,3","10,2,9",2,0
25,"8,10,6","9,2,8",1,-1
26,"11,4,10","10,10","3,2",-1
26,"11,7","10,10","3,2",-1
27,"9,5,10","11,9",2,-1
28,"10,3","3,8,4,11,3",0,-1
29,"5,10,3,2","4,2,10,10","1,1,0",1
30,"6,11,9","10,10",2,-1
31,"11,6,10,10","8,10","1,1",-1
32,"9,10","9,3,10","3,0",1
32,"9,7","9,3,10","3,0",1
33,"3,7","10,11",,-1
34,"10,7,8","10,8",2,-1
35,"7,10,7","8,6,10",1,-1
36,"3,10,10","10,9",2,-1
37,"5,10,4","11,8",2,0
38,"10,4,3","10,3,2,4",2,-1
39,"2,4","8,4,10",0,1
40,"8,2,10","9,2,4,2",2,1
41,"10,8,6","5,10,5",1,-1
42,"10,2,9","10,9",2,1
43,"10,10","10,10",0,0
44,"9,11","9,10",0,1
45,"9,5,10","3,2,6,6",1,-1
46,"10,10","3,2,11,4",0,0
47,"4,10,8","7,9,6",2,-1
48,"10,10","10,10",0,0
49,"7,9,10","10,8",2,-1
50,"9,10","9,10",0,0
51,"7,2,10","10,10",2,-1
52,"8,4","4,3,10",0,-1
53,"3,7,10","7,7,10",2,1
54,"4,3","2,10,10",0,1
55,"8,2,9","10,3,5",2,1
56,"10,11","5,10,9",0,1
57,"8,2,7","3,4,6,11,11,3",2,-1
58,"11,7","10,9","3,0",-1
58,"11,10","10,9","3,0",1
59,"10,3,9","11,5,10,8",2,-1
60,"10,2","4,4,5,4",0,-1
61,"10,5,11","8,6,10",2,1
62,"6,2","10,11",,-1
63,"4,10","10,11",,-1
64,"2,3","2,10,10",0,1
65,"7,8","10,11",,-1
66,"10,7,11","7,10","1,0",1
67,"4,7,11","8,8,11",2,-1
68,"3,8,10","10,10",2,1
69,"10,10","9,10",0,1
70,"7,10","10,3,5",0,-1
71,"9,5,10","2,4,4,10",1,-1
72,"10,3","3,7,10",0,-1
73,"11,5,5","5,11,7,10",1,1
74,"8,10","2,10,5","3,0",1
74,"8,3","2,10,5","3,0",-1
75,"10,5,10","10,10",2,-1
76,"10,10","10,10",0,0
77,"9,3,4","9,6,10",2,1
78,"11,7","6,4,10",0,-1
79,"10,2","4,7,10",0,-1
80,"9,6,5","2,10,4,3","1,0",1
81,"5,9,6","3,3,4,8","1,0",1
82,"4,7,11","5,9,2,11",2,-1
83,"5,10,10","2,10,3,4",1,-1
84,"10,6,5","4,5,10",1,1
85,"10,6,6","4,10,3",1,-1
86,"6,11,2","4,10,5","1,0",0
87,"8,9","10,11",,-1
88,"5,11,11","10,8",2,-1
89,"4,10,10","10,8","3,2",-1
89,"4,3","10,8","3,2",-1
90,"10,11","9,10",0,1
91,"10,3","4,2,6,10",0,1
92,"10,7","8,10",0,-1
93,"10,8","10,10",0,-1
94,"10,2,6","8,7,10",2,1
95,"7,10,10","4,9,6",1,-1
96,"10,8,7","3,10,8",1,-1
97,"5,8","2,7,4,8",0,-1
98,"3,7,6","4,11,3",2,-1
99,"7,6,7","10,10",2,0
100,"10,10","9,9",0,1
101,"11,10","5,10,7",0,1
102,"10,11","10,6,9",0,1
103,"4,2","9,8",0,-1
104,"10,8,3","2,2,7,6",1,1
105,"8,10,10","5,4,9",1,-1
106,"7,10,2,10","2,10,2,9","1,1",-1
107,"10,10","10,3,8",0,-1
108,"11,6,4","10,10",2,1
109,"2,8,7","6,10,10",2,1
110,"11,9","10,5,2",0,1
111,"4,6,11","5,11,11",2,1
112,"8,10,9","2,10,7","3,1",-1
112,"8,9","2,10,7","3,1",-1
113,"5,11,5","8,11",2,1
114,"7,9,10","10,5,10",2,-1
115,"6,3,8","10,9",2,-1
116,"4,5,5","6,5,5,6",2,1
117,"10,7,10","10,10",2,-1
118,"7,10,10","3,3,4,3,10",1,-1
119,"10,11","3,10,2,10",0,1
120,"10,5,7","10,2,9",2,-1
121,"4,7,2","4,2,10,11",2,-1
122,"2,7,10","4,10,9",2,1
123,"3,4","2,10,10",0,1
124,"2,10,10","9,6,9","3,2",-1
124,"2,11","9,6,9","3,2",1
125,"5,8,9","9,2,10",2,-1
126,"3,4","5,8,8",0,-1
127,"11,6,11,2","7,6,10","1,1,0",1
128,"9,8,2","9,5,7",2,-1
129,"6,10,11,4","3,2,10,10","1,1",1
130,"7,4,4","6,10,2",2,-1
131,"10,10","10,10",0,0
132,"10,5,2","9,3,10",2,1
133,"5,2","10,5,3",0,-1
134,"8,9,6","5,9,5",1,-1
135,"10,3,5","9,3,11,3,10",2,1
136,"8,9,10","4,7,10","3,1",-1
136,"8,10","4,7,10","3,1",-1
137,"10,10","8,3,3,4",0,1
138,"10,10","8,4,4,5",0,-1
139,"9,10,5","4,11,10,10",1,-1
140,"4,10,10","10,7",2,-1
141,"4,10,5","5,11,9,11,4",2,-1
142,"4,10,7","9,10",2,1
143,"2,5","3,7,10",0,-1
144,"7,10,10","10,3,3,6","3,2",-1
144,"7,5","10,3,3,6","3,2",1
145,"10,4,10","11,3,10,10",2,-1
146,"7,10,6","10,2,7",2,-1
147,"8,10,10","8,10",1,-1
148,"4,9,4","7,8,10",2,1
149,"6,10,10","7,3,9",1,-1
150,"5,7,3","8,10",2,-1
151,"10,4,7","6,9,4",2,1
152,"8,10,6","2,7,11",1,-1
153,"5,11,5","7,10",1,1
154,"10,8,10","2,11,9,8",1,-1
155,"5,10,10","3,10,10",1,-1
156,"2,10,7","9,2,10",2,-1
157,"10,5,6","2,10,5",1,1
158,"6,3","11,10",,-1
159,"10,7,10","11,3,10,6",2,-1
160,"3,11,10","10,10",2,-1
161,"6,2","11,11,3,8,7",0,-1
162,"11,3,10","8,10",2,-1
163,"8,7,5","10,2,10",2,1
164,"10,5,11,10","3,5,7,8","1,1",-1
165,"10,7,6","10,10",2,-1
166,"7,5,10","8,4,2,5",2,-1
167,"10,10,10","4,9,9",1,-1
168,"3,11,4","10,8",2,0
169,"10,9,10","11,3,8,8","3,3,2",-1
169,"10,10","11,3,8,8","3,3,2",0
169,"10,7","11,3,8,8","3,3,2",-1
170,"4,10","2,3,6,5,8","3,0",1
170,"4,6","2,3,6,5,8","3,0",1
171,"8,6,11","11,8",2,-1
172,"6,10,6","10,3,4","3,3,3,2",-1
172,"6,9","10,3,4","3,3,3,2",-1
172,"6,3","10,3,4","3,3,3,2",-1
172,"6,10","10,3,4","3,3,3,2",-1
173,"9,6,10","10,3,6",2,-1
174,"7,9","11,10",,-1
175,"2,9,9","10,10",2,0
176,"4,10","10,11",,-1
177,"9,11","7,2,9",0,1
178,"11,4,8","6,11",2,-1
179,"2,7","4,7,5,2",0,-1
180,"10,11","5,11,10,4",0,1
181,"8,3,10","9,5,7",2,0
182,"10,10","10,10",0,0
183,"8,10,3","11,9",2,1
184,"9,10","10,10",0,-1
185,"11,10","9,10",0,1
186,"10,6,10","10,3,2,7",2,-1
187,"10,10","9,10",0,1
188,"10,9","8,10",0,1
189,"5,4","2,5,6,10",0,1
190,"7,5,10","10,6,10",2,-1
191,"2,7,10","5,11,9,5","3,2",-1
191,"2,10","5,11,9,5","3,2",-1
192,"2,10,6","10,5,4",2,-1
193,"5,10,10","10,10",2,-1
194,"2,4","10,4,2,5",0,-1
195,"5,4","3,3,7,4","3,0",-1
195,"5,2","3,3,7,4","3,0",-1
196,"3,6","11,4,10,4",0,-1
197,"4,10,11","10,10",2,-1
198,"10,11","10,11",,0
199,"8,5,8","10,6,6","3,2",1
199,"8,8","10,6,6","3,2",1
200,"11,8","8,10",0,1
201,"10,10","5,2,3,4,2,7",0,1
202,"10,7,3","7,3,3,10","1,0",1
203,"8,11","9,6,9","3,0",1
203,"8,4","9,6,9","3,0",1
204,"4,4","10,11",,-1
205,"3,8","5,10,10",0,1
206,"9,10","10,10",0,-1
207,"2,3","10,10",0,-1
208,"5,3","10,4,8","3,0",1
208,"5,5","10,4,8","3,0",1
209,"3,8,11","10,10",2,-1
210,"6,10,2","8,4,9",2,-1
211,"10,10","3,2,10,10",0,1
212,"5,10,10","10,9","3,2",-1
212,"5,2","10,9","3,2",-1
213,"6,10,11","10,10",2,-1
214,"5,10,9","8,10",2,-1
215,"10,6,7","3,10,8",1,-1
216,"10,4","6,10,5",0,-1
217,"7,3,9","11,5,4",2,-1
218,"10,2","2,9,6",0,-1
219,"3,7,3","7,4,4,11,10",2,1
220,"7,6,8","10,5,10",2,1
221,"7,10,7","10,10",2,-1
222,"3,9,5","10,10",2,-1
223,"6,10,6","10,10",2,-1
224,"8,11","10,4,4",0,1
225,"10,8","9,6,5",0,-1
226,"8,5,6","10,10",2,-1
227,"11,2,10","10,10",2,-1
228,"11,10","4,5,2,9",0,1
229,"10,8,10","6,9,4",1,-1
230,"10,6,8","6,11",1,-1
231,"7,9,5","10,10",2,1
232,"5,11,7","9,10",2,-1
233,"9,4","3,9,9",0,-1
234,"9,11","4,10,4",0,1
235,"8,2,8","5,3,10",2,0
236,"11,8","10,7",0,1
237,"10,10","3,6,4,10",0,1
238,"9,2,11","6,10,5",2,-1
239,"10,5,10","4,10,11,2",1,-1
240,"10,9,2","3,5,10",1,1
241,"10,8","10,10",0,-1
242,"10,7","9,10",0,-1
243,"10,2","3,6,4,7",0,-1
244,"3,10","3,10,10",0,1
245,"10,10","10,2,2,10",0,1
246,"2,6","10,4,3",0,-1
247,"9,10","4,3,7,10",0,1
248,"10,11","4,5,6,7",0,1
249,"2,6,10","7,5,6",2,0
250,"7,10,4","3,6,8",1,1
251,"10,4","4,5,7,2",0,-1
252,"6,8,7","10,8",2,1
253,"10,9","4,10,6",0,-1
254,"2,8,2","6,6,8",2,-1
255,"7,11","11,2,5",0,0
256,"6,9,10","3,2,3,7,2","3,1",-1
256,"6,7","3,2,3,7,2","3,1",-1
257,"10,5,10","9,5,10",2,-1
258,"11,10","11,9",0,1
259,"5,9","2,10,4,8",0,1
260,"10,9,9","3,8,3,5",1,-1
261,"5,10,5","7,7,10",2,1
262,"9,11","8,10",0,1
263,"11,10","4,11,2",0,1
264,"7,11","10,3,10",0,1
265,"10,4","3,10,10",0,1
266,"2,6","5,10,10",0,1
267,"11,9","6,10,9",0,1
268,"5,10,3","10,9",2,-1
269,"11,10","10,10",0,1
270,"10,10","3,9,8",0,0
271,"10,6,4","3,10,11,4","1,0",1
272,"7,8","5,10,6",0,-1
273,"5,10,11","9,4,8",2,-1
274,"10,3,6","10,9",2,0
275,"6,9,10","9,10",2,-1
276,"11,10","8,7,10",0,1
277,"7,5,8","10,6,9",2,1
278,"4,8,5","10,8",2,-1
279,"5,3","3,10,3,10",0,1
280,"9,10","10,4,10",0,1
281,"4,10","2,11,10,3,7",0,1
282,"2,7","5,9,7",0,-1
283,"3,10","2,10,10",0,1
284,"5,10,3","10,7",2,1
285,"10,10","2,10,10",0,1
286,"9,11","10,11",,-1
287,"10,11","8,8,10",0,1
288,"10,6,10","7,8,10",1,-1
289,"5,10,9","3,2,6,3,4",1,-1
290,"8,3,7","11,4,8,4",2,1
291,"10,10","10,10",0,0
292,"11,2,7","9,11",2,0
293,"6,10,9","3,7,9",1,-1
294,"10,10","10,10",0,0
295,"2,3","10,10",0,-1
296,"3,7,5","9,10",2,-1
297,"10,9","6,10,11",0,1
298,"8,7,9","9,10",2,-1
299,"6,8,4","10,2,6",2,0
300,"7,10,10","4,3,7,4",1,-1
301,"3,11","5,7,10",0,1
302,"4,10,6","9,9","3,2",1
302,"4,10","9,9","3,2",-1
303,"11,10","10,7",0,1
304,"10,10","7,11",0,1
305,"2,9","3,9,3,10",0,1
306,"5,2","5,4,9",0,-1
307,"3,7","3,9,10",0,1
308,"10,10","2,5,2,9",0,1
309,"10,6,4","4,8,2,10","1,0",1
310,"4,9","2,10,9",0,-1
311,"10,10","11,10",,-1
312,"3,10,6","10,7",2,1
313,"3,10","4,2,2,2,10","3,0",-1
313,"3,10","4,2,2,2,10","3,0",-1
314,"5,10,4","11,9",2,-1
315,"10,2,8","8,11",2,1
316,"8,10","9,8",0,1
317,"10,11","5,6,10",0,0
318,"7,3,8","8,10",2,0
319,"4,10,3","7,10",2,0
320,"10,3,6","5,5,6,5",2,-1
321,"11,10","2,2,2,5,6",0,1
322,"7,6,4","10,4,10",2,1
323,"5,4,10","6,3,10",2,0
324,"2,9","10,11",,-1
325,"10,3,3","5,8,6",2,-1
326,"11,6,11","10,6,10",2,1
327,"10,8","10,7",0,1
328,"10,5,6","8,10",2,1
329,"10,5","11,10",,-1
330,"10,10","10,6,5",0,-1
331,"10,8","11,11,2,5",0,-1
332,"3,10,9","10,8",2,-1
333,"4,10,4","8,11",2,-1
334,"3,5,6","9,10",2,-1
335,"6,9,10","11,11,4,6,2,6",2,-1
336,"10,9","10,9",0,0
337,"11,10","4,7,6",0,1
338,"7,8,10","8,11",2,-1
339,"8,5,7","10,4,9",2,1
340,"9,10,8","2,2,2,10,10",1,-1
341,"9,10","10,5,4",0,0
342,"6,10,10","7,2,10",1,-1
343,"10,7,8","11,8",2,-1
344,"10,3","5,8,8",0,-1
345,"3,10","5,11,10,4",0,-1
346,"9,10,6","2,7,7,7",1,-1
347,"5,7,7","6,10,10",2,1
348,"8,10,10","5,2,3,9",1,-1
349,"10,10","9,2,3,10",0,1
350,"2,8","2,10,10",0,1
351,"10,8,9","10,10",2,-1
352,"10,10","11,10",,-1
353,"10,8,10","5,7,7",1,-1
354,"8,6","4,11,10,10",0,1
355,"9,11","8,3,10",0,-1
356,"6,10,8","5,3,4,10",1,-1
357,"6,3,10","10,5,5",2,-1
358,"10,10,8","3,10,5",1,-1
359,"10,7,11","8,7,5",2,-1
360,"10,11","10,10",0,1
361,"10,4,3","9,10",2,-1
362,"3,9,9","7,8,11,10",2,1
363,"5,10","4,10,10",0,1
364,"10,5,8","11,9",2,-1
365,"10,5,3","10,4,3",2,1
366,"10,6,10","10,7",2,-1
367,"2,4","8,3,11,3,4",0,-1
368,"10,7,2,4","5,9,5","1,1",-1
369,"11,5,11,8","3,4,10","1,1,0",-1
370,"7,3,2","9,8",2,-1
371,"6,4","4,10,6",0,-1
372,"7,10","10,11",,-1
373,"10,9,10","6,6,4,4",1,-1
374,"2,6","2,10,4,2","3,0",-1
374,"2,10","2,10,4,2","3,0",-1
375,"7,6","11,10",,-1
376,"9,10,10","9,6,11,6",1,-1
377,"10,11","8,4,7",0,1
378,"9,2","2,5,11",0,-1
379,"4,9,6","9,3,5",2,1
380,"10,11","7,11",0,1
381,"11,2,2","6,10,10",2,1
382,"10,5,6","10,10",2,1
383,"3,10,10","9,4,10",2,-1
384,"10,5","2,7,9",0,-1
385,"11,10","10,8",0,1
386,"10,10,10","5,10,2",1,-1
387,"4,2","4,7,7",0,-1
388,"4,10","3,10,10","3,0",1
388,"4,2","3,10,10","3,0",1
389,"6,11,4","5,10,3",1,1
390,"6,5,4","10,2,10",2,1
391,"8,7,3,4","2,4,10,3","1,1",-1
392,"11,10","10,5,10",0,1
393,"8,2,8","5,4,10",2,-1
394,"3,10,6","10,8",2,1
395,"7,3,7","9,11",2,-1
396,"4,10,2","10,10",2,-1
397,"10,10,5","2,10,5",1,-1
398,"10,5,10","6,2,10",2,-1
399,"7,10,10","7,11",1,-1
400,"3,11","5,11,5",0,-1
401,"5,6,4","5,2,11",2,-1
402,"6,8","2,10,2,9",0,1
403,"8,10,10","3,7,10",1,-1
404,"9,2,10","10,10",2,1
405,"3,8,8","7,7,9",2,1
406,"4,10","3,10,10",0,1
407,"8,6,10","9,10",2,-1
408,"2,8,6","10,9",2,-1
409,"10,4,8","11,4,9,8",2,-1
410,"4,10,11","11,3,7",2,-1
411,"9,4,6","9,6,3",2,1
412,"6,3,3","10,8",2,-1
413,"3,11","4,10,10",0,1
414,"10,10","10,10",0,0
415,"10,9","10,2,5",0,1
416,"5,11,5","9,10",2,1
417,"2,10,10","10,3,10",2,-1
418,"5,11,10,3,7","4,9,3,5","1,1,1",-1
419,"10,6,3","10,9",2,0
420,"2,5","4,9,10",0,1
421,"2,3","6,10,9",0,1
422,"3,10,5","8,10","3,2",0
422,"3,10","8,10","3,2",-1
423,"3,5,2","7,10",2,-1
424,"2,10,6","9,9",2,0
425,"2,3","4,10,10",0,1
426,"8,10,8","11,4,10,6",2,-1
427,"4,2","6,10,5",0,-1
428,"10,6,9","10,2,2,11,4",2,-1
429,"7,9,5","8,11",2,1
430,"10,10","10,2,10",0,1
431,"7,11,10,6","2,6,3,11,10","1,1",-1
432,"10,10","8,10",0,1
433,"10,10","5,10,4",0,1
434,"11,3,4","8,10",2,0
435,"11,7","9,10",0,-1
436,"4,5,10","7,8,9",2,1
437,"10,10","8,2,11",0,-1
438,"2,6","2,4,6,5",0,-1
439,"2,11,10","10,10",2,-1
440,"4,10","5,11,3",0,-1
441,"5,11,9","10,10",2,-1
442,"7,10,3","11,6",2,1
443,"8,5,6","7,10",2,1
444,"5,11,10","10,2,11,2,3",2,-1
445,"2,9,7","10,4,9",2,1
446,"10,2,6","6,2,9",2,1
447,"11,10","11,10",,0
448,"8,5,6","7,10",2,1
449,"10,9","8,9",0,1
450,"10,10,10","3,9,3,8",1,-1
451,"10,2,10","5,7,10",2,-1
452,"10,10","6,10,10",0,1
453,"7,6,10","10,7",2,-1
454,"10,4,10","10,7",2,-1
455,"3,5,7","10,8",2,-1
456,"10,10","10,8",0,1
457,"10,5,10","7,3,4,10",2,-1
458,"5,7,9","11,4,4",2,1
459,"4,10,9","7,11",2,-1
460,"10,7,5","4,10,8",1,-1
461,"9,7,3","8,6,3",2,1
462,"6,3,10","11,9","3,2",-1
462,"6,2","11,9","3,2",-1
463,"2,10,10","8,10",2,-1
464,"7,9,10","7,10",1,-1
465,"5,10","10,11",,-1
466,"2,9","2,6,10",0,-1
467,"2,10","3,11,10,8",0,1
468,"3,10,3","8,11",2,-1
469,"9,10,7","6,5,2,10",1,-1
470,"10,8,5","4,11,10,3",1,-1
471,"10,6,3","11,6",2,1
472,"8,5","2,5,10",0,-1
473,"8,3","2,10,4,4",0,-1
474,"11,10","5,7,9",0,0
475,"11,8","8,10",0,1
476,"5,6,4","10,10",2,-1
477,"2,11,7","10,10",2,0
478,"4,10","10,11",,-1
479,"8,10","10,8",0,0
480,"10,11","7,10",0,1
481,"10,10","5,10,6",0,-1
482,"9,10,4","3,5,8,2",1,-1
483,"9,11","10,3,10","3,0",1
483,"9,4","10,3,10","3,0",1
484,"10,11","10,5,9",0,1
485,"4,10,11","10,6,9",2,1
486,"7,5","4,2,7,10",0,1
487,"5,9","3,3,2,4,5",0,-1
488,"7,5,8","11,6",2,1
489,"10,7,3","5,8,10","1,0",1
490,"10,3","3,10,9",0,1
491,"10,8","10,8",0,0
492,"4,10,10","9,9",2,-1
493,"6,8","2,10,10",0,1
494,"5,4,2","5,8,10",2,1
495,"11,3,2","10,6,7",2,1
496,"9,3","11,10",,-1
497,"10,10","5,10,10",0,1
498,"11,5","11,10",,-1
499,"2,9","10,11",,-1
500,"6,9,10","10,7",2,-1
501,"10,10","4,5,6,8",0,1
502,"9,6,4","10,10",2,-1
503,"10,10,10","2,4,10,2",1,-1
504,"11,10","2,9,10",0,0
505,"6,5,10","9,5,10",2,1
506,"3,11","11,10",,-1
507,"7,4,10","10,4,10",2,1
508,"11,4,10","9,11",2,-1
509,"10,5,8","3,7,10",1,-1
510,"5,10,10","11,6",2,-1
511,"10,11","10,4,11,10",0,1
512,"2,2","10,11",,-1
513,"5,10,2","10,4,2,4",2,-1
514,"10,6,4","10,9",2,1
515,"10,3,8","10,10",2,1
516,"2,7","2,6,9","3,0",-1
516,"2,10","2,6,9","3,0",-1
517,"2,8,5","9,6,5",2,-1
518,"5,4,9","11,5,8,11,6",2,-1
519,"8,9,11,6","3,4,7,6","1,1",-1
520,"6,3,4","10,8",2,-1
521,"10,5,8","11,7",2,-1
522,"5,10,9","7,10",2,-1
523,"10,5,10","10,7",2,-1
524,"8,11,7,10","2,3,10,10","1,1",-1
525,"9,6","4,9,8",0,-1
526,"8,5,10","6,7,8",2,-1
527,"5,7,4","8,10",2,-1
528,"7,3,10","10,7",2,1
529,"4,10,10","10,9",2,-1
530,"10,8","9,5,6",0,-1
531,"3,9,10","10,10",2,-1
532,"10,10","10,6,10",0,1
533,"2,6","10,11",,-1
534,"2,9","3,11,10,10",0,1
535,"11,10","3,3,8,2,6",3,1
535,"11,3","3,3,8,2,6",3,1
536,"10,6,8","3,10,2,10",1,-1
537,"7,5,6","7,4,5,10",2,1
538,"2,4","8,6,9",0,1
539,"6,4,10","10,10",2,0
540,"10,4,5","9,5,11,10",2,1
541,"9,3","3,7,7",0,-1
542,"4,11,7","10,7","3,2",-1
542,"4,8","10,7","3,2",-1
543,"8,2,10","10,5,8",2,1
544,"9,6,6","10,10",2,1
545,"2,10,6","10,8",2,0
546,"9,6","4,8,10",0,1
547,"2,3","10,4,10",0,1
548,"2,10,5","10,10","3,2",-1
548,"2,3","10,10","3,2",-1
549,"5,10,9","9,8",2,-1
550,"10,4","3,11,3","3,0",-1
550,"10,11","3,11,3","3,0",1
551,"8,10","10,10",0,-1
552,"8,5","10,11",,-1
