round,player_hand,dealer_hand,actions,reward
0,"7,8,3","8,6,10",2,1
1,"5,3","2,11,5",0,-1
2,"11,5,8","10,6,4",2,-1
3,"10,5","5,10,4",0,-1
4,"10,2,9","7,6,10","3,2",1
4,"10,7","7,6,10","3,2",1
5,"5,10,10","10,8",2,-1
6,"4,8,9","10,5,10",2,1
7,"5,4,6","3,2,5,4,5",2,-1
8,"9,10,7","6,10,5",1,-1
9,"9,10,6","10,7",1,-1
10,"4,10,10","10,10",2,-1
11,"11,2,10","4,10,10",2,1
12,"7,10,6","4,3,2,6,7",1,-1
13,"3,11,2","8,10",2,-1
14,"11,10","2,10,8",0,1
15,"10,3,10","7,5,11,10",2,-1
16,"10,9,3","10,3,10",1,-1
17,"2,6,10","3,10,10",2,1
18,"3,11,4","10,5,8",2,1
19,"10,3,11","8,3,4,10",2,1
20,"10,10","10,9",0,1
21,"10,11","10,9",0,1
22,"11,2,9","7,11",2,-1
23,"4,4","10,11",,-1
24,"11,10","5,2,10",0,1
25,"10,10","6,8,3",0,1
26,"10,3,10","10,7",2,-1
27,"6,10,9","10,9",2,-1
28,"4,10,9","8,5,7",2,-1
29,"2,11,11","6,2,8,7",2,1
30,"10,9","7,3,7",0,1
31,"2,4","10,6,10",0,1
32,"7,3,10","2,2,10,11,10",2,1
33,"4,9,5","10,10",2,-1
34,"10,7,10","8,8,8",1,-1
35,"10,10","4,10,11,10",0,1
36,"9,8,7","10,7",1,-1
37,"3,6,10","10,9",2,0
38,"10,6,11,10","6,3,6,10","1,1",-1
39,"9,10","9,7,10",0,1
40,"2,9,4","2,7,5,2,3",2,-1
41,"7,9,5","5,10,11,10",1,1
42,"10,10","6,5,11,7",0,1
43,"10,10","10,10",0,0
44,"10,2,9","8,2,2,2,3",2,1
45,"2,4","6,11",0,-1
46,"7,4,11","10,5,8","3,3,2",1
46,"7,10","10,5,8","3,3,2",1
46,"7,10","10,5,8","3,3,2",1
47,"5,10,6","10,10",2,1
48,"2,10,3","6,8,10",2,1
49,"9,3,11","3,10,10",2,1
50,"6,11,10,11,3","5,4,10","1,1,1",1
51,"7,9,7","2,10,7",1,-1
52,"2,3","10,7",0,-1
53,"10,9","11,10",,-1
54,"11,5,4","8,10","1,0",1
55,"5,10,2","10,10",2,-1
56,"9,10","10,8",0,1
57,"8,8,10","11,3,10,6",2,-1
58,"7,10,3","2,6,5,10","1,0",1
59,"9,10","10,10",0,-1
60,"2,7,3","4,8,3,2",2,-1
61,"9,2,4","10,7",2,-1
62,"10,9","8,3,10",0,-1
63,"2,3","6,5,11,10",0,1
64,"10,6,5","10,7",2,1
65,"2,6,6","9,4,6",2,-1
66,"10,4,11","11,4,4",2,-1
67,"8,9,10","10,7",2,-1
68,"7,6,9","9,5,10",2,-1
69,"6,3,8","5,7,3,11,5",2,-1
70,"2,5","10,10",0,-1
71,"3,10,9","10,10",2,-1
72,"6,3,6","10,9",2,-1
73,"2,4","10,10",0,-1
74,"9,4,10","5,4,7,5",2,-1
75,"3,10,4","4,9,10",2,1
76,"5,6,10","11,2,4",2,1
77,"10,10","7,2,10",0,1
78,"4,10","2,8,3,3,11",0,-1
79,"8,7,6","7,9,8",2,1
80,"10,10","4,3,9,9",0,1
81,"6,7,4","4,7,4,10",2,1
82,"4,9,5","6,5,7",2,0
83,"3,11,9","10,2,10",2,1
84,"10,9,8","8,4,10",1,-1
85,"2,7,3","10,4,4",2,-1
86,"10,10","7,4,6",0,1
87,"10,9,4","8,6,8",1,-1
88,"7,5,5","4,4,2,11",2,-1
89,"10,6,11","10,2,10",2,1
90,"6,10,8","10,6,3",2,-1
91,"7,4,3","2,8,7",2,-1
92,"4,9,10","10,7",2,-1
93,"10,5,10","3,10,10","3,1",-1
93,"10,5","3,10,10","3,1",1
94,"5,10,4","6,7,10",2,1
95,"10,4,10","7,11",1,-1
96,"9,11","5,10,7",0,1
97,"5,7,6","11,9",2,-1
98,"10,5,10","5,10,7","3,2",-1
98,"10,3","5,10,7","3,2",1
99,"7,10,6","8,7,2",1,-1
100,"2,6","10,8","3,0",-1
100,"2,7","10,8","3,0",-1
