round,player_hand,dealer_hand,actions,reward
0,"2,5,10","9,4,2,10",2,1
1,"7,2,10","3,5,10",2,1
2,"7,4,10","10,2,8",1,1
3,"6,7,2","10,5,10",2,1
4,"8,6,3","8,8,5","1,0",-1
5,"8,9,3","10,10","1,0",0
6,"8,8","11,10",,-1
7,"2,3,10","6,10,4",2,-1
8,"10,11,7","10,10",2,-1
9,"10,6,10","10,5,5",2,-1
10,"8,6,2","8,10",2,-1
11,"11,3,11","2,2,10,7",2,-1
12,"10,7","10,10",0,-1
13,"2,4,7","8,10",2,-1
14,"11,6,10","11,9",2,-1
15,"10,7,10","10,4,10",2,-1
16,"7,10,3","2,11,10,7",2,0
17,"10,2,4","6,5,11,7",2,-1
18,"5,7,6","8,10",2,0
19,"5,10,10","6,10,2",2,-1
20,"11,3","11,7",0,-1
21,"6,10","6,2,4,6",0,-1
22,"10,4","10,10",0,-1
23,"8,9","5,10,9",0,1
24,"10,5,5","9,10","1,0",1
25,"9,4","10,11",,-1
26,"10,3","10,6,7",0,1
27,"10,11","7,11",0,1
28,"2,10","10,7",0,-1
29,"2,5","3,5,10",0,-1
30,"3,6","9,6,7",0,1
31,"4,9,10","9,8",1,-1
32,"7,10","3,9,6",0,-1
33,"10,6,8","10,3,8",1,-1
34,"2,9,2","7,6,10","1,0",1
35,"2,8,4","3,11,10,9",2,1
36,"9,10","10,2,2,9",0,1
37,"10,2,4","10,6,10",2,1
38,"9,3,9","10,10",2,1
39,"7,11,9","7,11",2,-1
40,"10,9,10","6,11",1,-1
41,"8,5,4,7","8,10","1,1",-1
42,"3,5","10,4,8",0,1
43,"10,10,6","10,9",2,-1
44,"8,4,2","5,11,4",2,-1
45,"10,10,7","7,10",2,-1
46,"10,9,2","7,5,7",2,1
47,"4,7,3","4,6,9",2,-1
48,"10,4,10","5,2,11",2,-1
49,"11,7,10","9,8","3,2",1
49,"11,2","9,8","3,2",-1
50,"10,10","5,3,2,6,2",0,1
51,"10,3,3","6,9,10",2,1
52,"11,10,10","7,9,6",2,1
53,"6,11,6","5,3,5,8",2,-1
54,"9,10","2,9,9",0,-1
55,"10,10","3,10,2,10",0,1
56,"9,6,10","10,10",1,-1
57,"10,10,5","10,3,10",2,-1
58,"6,10,10","10,7",1,-1
59,"5,6","2,10,8",0,-1
60,"11,3","4,3,7,10",0,1
61,"9,10,10","8,11",2,-1
62,"7,4","11,4,6",0,-1
63,"3,3","7,10",0,-1
64,"8,10","4,6,10",0,-1
65,"11,2","7,5,11,10",0,1
66,"5,10","7,2,8",0,-1
67,"2,5","9,8",0,-1
68,"5,2","11,7",0,-1
69,"8,8","6,10,10",0,1
70,"7,8","2,8,2,10",0,1
71,"11,8","3,10,11,2,10",0,1
72,"9,3","3,2,3,3,10",0,-1
73,"10,10,6","10,8",2,-1
74,"10,6","4,10,5",0,-1
75,"10,9,10","7,7,8",2,-1
76,"11,10,5","9,8",2,-1
77,"10,6","4,4,6,9",0,1
78,"5,10","5,10,11,8",0,1
79,"3,4,6,4,10","10,10","1,1,1",-1
80,"10,10","5,2,10",0,1
81,"5,6,10","10,6,8",1,1
82,"10,4,11,9","10,10","1,1",-1
83,"9,7,6","10,9",1,-1
84,"9,11","11,10",,-1
85,"4,11","7,10",0,-1
86,"3,8,9","10,9","1,0",1
87,"7,5,5","7,4,3,2,7","1,0",1
88,"9,4,5","10,10","1,0",-1
89,"7,6,11,11,10","10,9","1,1,1",-1
90,"5,10,8","7,7,10",1,-1
91,"5,8","2,3,10,4",0,-1
92,"4,10,10","11,3,2,9,8",1,-1
93,"9,10,3","5,9,6",2,-1
94,"2,10","5,4,6,2",0,-1
95,"10,5,6","8,10",1,1
96,"5,2","5,7,11,3,7",0,1
97,"10,10","8,7,10",0,1
98,"5,8,2","9,10","1,0",-1
99,"3,11,3,6,10","8,7,10","1,1,1",-1
100,"8,2,5","10,4,6","1,0",-1
101,"10,4,9","9,3,7",1,-1
102,"10,7,10","9,7,10",1,-1
103,"3,4","7,10",0,-1
104,"3,2","5,11,11",0,-1
105,"11,10","11,10",,0
106,"5,5,11","5,6,10",1,0
107,"11,6","3,9,2,10",0,1
108,"3,10","4,10,10",0,1
109,"11,2,6","8,10","1,0",1
110,"9,10,8","10,10",2,-1
111,"6,10","2,7,10",0,-1
112,"4,10","4,11,2",0,-1
113,"10,10,9","10,9",2,-1
114,"5,10,4","9,9","1,0",1
115,"10,10","10,11",,-1
116,"2,10,7,11,8","10,8","1,1,1",-1
117,"10,3,8","10,10",1,1
118,"2,4,4,10,7","10,8","1,1,1",-1
119,"10,10","6,7,10",0,1
120,"8,4,11,11,7","10,10","1,1,1",1
121,"10,2,4,6","9,10","1,1",-1
122,"6,4,9","8,6,10","1,0",1
123,"11,2,8","10,2,9",2,0
124,"10,6,6","10,9",1,-1
125,"5,8","3,10,3,8",0,1
126,"4,2","9,10",0,-1
127,"11,8,10,6","10,4,8","1,1",-1
128,"10,11,10","9,11",2,1
129,"11,2","8,10",0,-1
130,"6,10,9","7,8,5",2,-1
131,"8,2","4,10,3",0,-1
132,"10,4,10","9,4,10",1,-1
133,"8,6,10","9,8",1,-1
134,"4,3,10","8,8,3",2,-1
135,"8,3,10","10,4,6",2,1
136,"2,10,11","5,6,10","1,0",-1
137,"9,10,10","8,2,5,4",2,-1
138,"2,4,8","3,3,5,4,10",2,1
139,"9,10,5","4,7,3,6",2,-1
140,"4,10","11,10",,-1
141,"7,7,5","11,5,10,9",2,1
142,"7,3,4","7,6,2,10",2,1
143,"9,11,10","6,11",2,1
144,"2,10,10","4,7,10",2,-1
145,"7,11,2","7,8,9",2,1
146,"3,10,10","10,10","3,2",-1
146,"3,9","10,10","3,2",-1
147,"2,10,3","10,4,9",2,1
148,"2,11,10","6,10,8",2,1
149,"9,8,6","5,10,3",2,-1
150,"10,2","10,11",,-1
151,"10,2,10","10,10",2,-1
152,"10,6,3","10,3,6",2,0
153,"7,6,3","8,10",2,-1
154,"9,6,9","3,6,10",2,-1
155,"8,10","11,9",0,-1
156,"6,2,8","11,8",2,-1
157,"9,8","11,10",,-1
158,"10,3","2,10,10",0,1
159,"8,10,10","10,4,10",1,-1
160,"9,4,10","5,6,7",2,-1
161,"7,3,10","10,5,5",2,0
162,"9,10","2,5,9,7",0,1
163,"7,10","6,5,10",0,-1
164,"10,11","4,10,2,10",0,1
165,"10,9","3,10,6",0,0
166,"11,2","3,4,10",0,-1
167,"5,10,7","10,5,10",1,-1
168,"9,3,4","7,11","1,0",-1
169,"10,6,11","10,8",2,-1
170,"3,8","10,9",0,-1
171,"2,10,2","9,10","1,0",-1
172,"11,6,9,11,5","10,10","1,1,1",-1
173,"5,8,2","7,10","1,0",-1
174,"5,2","2,10,6",0,-1
175,"8,4","4,10,10",0,1
176,"10,3,11,8","11,6","3,1,1",-1
176,"10,11","11,6","3,1,1",1
177,"6,5,5,5","10,7","1,1",1
178,"11,10","6,10,2",0,1
179,"8,8","4,10,2,3",0,-1
180,"5,10,11,2","10,10","1,1,0",-1
181,"8,10","7,4,10",0,-1
182,"10,4,7","7,8,11,11",1,1
183,"8,10","10,11",,-1
184,"6,6,8,10","8,5,9","1,1",-1
185,"10,10,3","11,7",1,-1
186,"10,3","3,10,2,11,7",0,1
187,"10,9","6,8,10",0,1
188,"4,7,10","10,6,11",2,1
189,"4,9,11,10","10,4,4","1,1",-1
190,"8,10","7,4,8",0,-1
191,"8,10,10","10,10",1,-1
192,"7,10","6,7,9",0,1
193,"8,3,10","10,2,11,3,4",1,1
194,"3,11,10,9","10,5,2","1,1",-1
195,"10,10,10","10,10",1,-1
196,"10,2","4,3,11",0,-1
197,"7,10,8","10,5,3",1,-1
198,"6,10,8","10,10",1,-1
199,"10,8","4,10,2,6",0,1
200,"9,11,3,10","10,9","1,1",-1
201,"10,5","2,8,3,10",0,1
202,"5,4,6","2,3,6,4,5","1,0",-1
203,"9,3","2,10,4,9",0,1
204,"2,10,9","5,10,10",2,1
205,"10,9","5,4,10",0,0
206,"7,6,10","5,2,2,7,2",2,-1
207,"3,6,11","7,10","1,0",1
208,"10,10,10","3,10,7",2,-1
209,"8,9","4,9,10",0,1
210,"3,6","7,6,10",0,1
211,"9,7","6,10,9",0,1
212,"4,3","11,8",0,-1
213,"10,4","7,3,3,7",0,-1
214,"7,2","8,2,8",0,-1
215,"10,10,6","6,10,10",1,-1
216,"7,10,4","10,10",1,1
217,"2,5","10,4,11,3",0,-1
218,"4,9,6","10,10",2,-1
219,"6,8","10,10",0,-1
220,"5,11","6,10,10",0,1
221,"10,10,9","4,8,8","3,1",-1
221,"10,3","4,8,8","3,1",-1
222,"8,9","2,2,3,7,4",0,-1
223,"10,5","10,6,10",0,1
224,"9,10,10","11,6",1,-1
225,"10,6","10,11",,-1
226,"2,8","3,11,10,2,10",0,1
227,"7,7,10","7,3,10",1,-1
228,"10,4,5,9","10,2,10","1,1",-1
229,"10,10,3","10,2,10",1,-1
230,"8,4,5","6,10,10","1,0",1
231,"10,10","5,6,10",0,-1
232,"3,10","3,10,8",0,-1
233,"9,2,9","8,9",2,1
234,"8,6","4,11,10,10",0,1
235,"11,4,9","6,8,11,4",2,-1
236,"2,9,5","6,6,11,4",2,-1
237,"8,2,11","8,7,10",2,1
238,"7,2,10","6,5,11,10",2,1
239,"7,6,10","9,5,4",2,-1
240,"5,3,10,10","10,3,7","1,1",-1
241,"9,6,7","10,8",1,-1
242,"11,10,3","10,10",2,-1
243,"10,10,2","8,5,2,11,5",2,-1
244,"7,4,5","7,6,11,2,8","3,2",1
244,"7,8","7,6,11,2,8","3,2",1
245,"5,3,4","10,4,10",2,1
246,"10,8","10,11",,-1
247,"10,11,9","10,4,5",2,1
248,"10,7,5","6,3,9",2,-1
249,"10,10","11,10",,-1
250,"3,9,3","10,10",2,-1
251,"10,5,6","9,9",2,1
252,"4,8,2","7,10",2,-1
253,"5,4,5","10,2,9",2,-1
254,"10,4,4","8,5,7",2,-1
255,"9,4","2,9,10",0,-1
256,"11,10","3,6,11",0,1
257,"10,10","6,3,7,6",0,1
258,"10,6","11,10",,-1
259,"3,10","2,5,10",0,-1
