round,player_hand,dealer_hand,actions,reward
0,"2,9,8","2,10,7","1,0",0
1,"4,11,10","10,2,4,11",2,-1
2,"11,5,8","10,10",2,-1
3,"10,9","8,8,8",0,1
4,"9,10","10,10",0,-1
5,"5,3","3,10,10",0,1
6,"10,10","2,11,4",0,1
7,"7,9,10","6,9,10","3,1",-1
7,"7,10","6,9,10","3,1",1
8,"9,10","3,8,7","3,0",1
8,"9,7","3,8,7","3,0",-1
9,"10,7,3","10,10",2,0
10,"10,10","5,4,3,10",0,1
11,"10,6,10","9,5,2,10",2,-1
12,"6,2,10","8,7,5","3,2",-1
12,"6,6","8,7,5","3,2",-1
13,"6,7,10","6,11",2,-1
14,"8,10,6","10,4,7",2,-1
15,"10,4,10","10,10",2,-1
16,"10,2,10","10,8",2,-1
17,"4,5,11","9,10",2,1
18,"3,2","2,2,4,10",0,-1
19,"3,2","3,10,10",0,1
20,"5,7,9","10,3,11,11,2",2,1
21,"5,8,11","5,7,4,5",2,-1
22,"5,4,6","7,3,6,9",2,1
23,"10,4,7","10,9",2,1
24,"9,10,10","5,10,9",1,-1
25,"10,7,10","4,10,9",1,-1
26,"3,7,2","11,5,7,8",2,-1
27,"10,3","4,5,10",0,-1
28,"10,4,6","8,8,9",2,1
29,"10,11","10,8",3,1
29,"10,10","10,8",3,1
30,"9,2,10","10,3,10",2,1
31,"4,10,7","4,6,3,3,5",1,0
32,"4,6,10","8,11",2,1
33,"8,10,4","7,3,5,3",1,-1
34,"10,11","10,10",3,1
34,"10,8","10,10",3,-1
35,"5,7,11","6,8,5",2,-1
36,"5,6,3","10,2,9",2,-1
37,"8,8","11,10",,-1
38,"10,9","10,11",,-1
39,"2,6,11","9,10",2,0
40,"5,9,4","8,4,6",2,0
41,"3,5","2,9,6","3,0",-1
41,"3,7","2,9,6","3,0",-1
42,"10,4,4","11,6",2,1
43,"10,6,2,7","3,5,4,10","1,1",-1
44,"2,6","10,11",,-1
45,"2,9,10","8,10",2,1
46,"10,6,11,8","3,10,8","1,1",-1
47,"5,9,2","8,10",2,-1
48,"4,5,6","10,7",2,-1
49,"10,10","5,9,6",0,0
50,"11,10","2,9,9",0,1
51,"7,2,7","6,9,10",2,1
52,"5,10","11,10",,-1
53,"6,11,7","9,4,7",2,-1
54,"8,10,6","4,8,7","3,1",-1
54,"8,6","4,8,7","3,1",-1
55,"10,10","5,10,10",0,1
56,"10,10","3,10,8",0,-1
57,"11,10","9,4,9",0,1
58,"10,4,3","11,3,4",2,-1
59,"10,10","4,11,5",0,0
60,"4,5,9","10,2,10",2,1
61,"10,3,10","2,8,6,7","3,3,3,3,3,3,3,1",-1
61,"10,3","2,8,6,7","3,3,3,3,3,3,3,1",1
61,"10,10","2,8,6,7","3,3,3,3,3,3,3,1",1
61,"10,11","2,8,6,7","3,3,3,3,3,3,3,1",1
61,"10,10","2,8,6,7","3,3,3,3,3,3,3,1",1
61,"10,5","2,8,6,7","3,3,3,3,3,3,3,1",1
61,"10,2","2,8,6,7","3,3,3,3,3,3,3,1",1
61,"10,4","2,8,6,7","3,3,3,3,3,3,3,1",1
62,"6,3","5,4,7,10",0,1
63,"3,6","3,10,3,10",0,1
64,"9,10,10","4,10,5",1,-1
65,"8,11,7,7","2,11,9,7","1,1",-1
66,"10,7,11","11,2,8",2,-1
67,"10,8,3","5,10,7",1,1
68,"10,6,6","10,10",2,-1
69,"5,9","10,11",,-1
70,"10,8,5","10,4,10",2,-1
71,"10,2,10","8,4,9",2,-1
72,"2,11,3,5","3,10,10","1,1",1
73,"10,8,10","3,7,7",1,-1
74,"5,6,2","7,9,3",2,-1
75,"5,2","7,8,5",0,-1
76,"10,4,10","7,4,3,10",2,-1
77,"7,3","3,10,8",0,-1
78,"4,10","11,10",,-1
79,"4,5,2","10,7",2,-1
80,"7,2","4,5,10",0,-1
81,"10,7","10,11",,-1
82,"3,10,10","10,8",2,-1
83,"2,4","4,7,7",0,-1
