round,player_hand,dealer_hand,actions,result
0,"3,5,10","6,10,8",2,0
1,"2,3","10,5,8",0,0
2,"10,10","7,5,9",0,-1
3,"5,2,10","5,3,2,11",2,-1
4,"10,9,11","2,10,3,6","1,0",-1
5,"2,5,9","10,8",2,-1
6,"8,6,11","7,9,10",2,0
7,"9,5,7","6,6,10",2,1
8,"10,10","6,7,2,3",0,1
9,"10,3,11","10,7",2,-1
10,"11,6,10","10,6,11",2,0
11,"11,5,8","9,4,7",2,-1
12,"8,7,10","6,2,11",2,-1
13,"8,10,4","5,2,3,9",1,-1
14,"11,9","5,10,3",0,1
15,"2,11,10","10,10",2,-1
16,"3,6,7","3,10,10",2,0
17,"8,10,7","10,9",2,-1
18,"10,3,6","9,4,9",2,0
19,"10,10","6,10,10",0,0
20,"5,10,8","10,9",2,-1
21,"9,8,10","9,4,10",2,-1
22,"11,7,10,10","5,10,11,6","1,1",-1
23,"10,9,4","9,11",1,-1
24,"10,10","6,6,10",0,0
25,"2,3","10,11",,-1
26,"8,10,4","10,10",2,-1
27,"4,5,10","7,6,9",2,0
28,"10,7,4","5,10,9",1,1
29,"6,5,9","5,11,7,10",2,0
30,"4,7,2","4,9,4","3,3,2",-1
30,"4,8","4,9,4","3,3,2",-1
30,"4,10","4,9,4","3,3,2",-1
31,"10,10","11,8",0,1
32,"2,5,10","6,4,4,3","3,2",0
32,"2,10","6,4,4,3","3,2",-1
33,"3,10,10","10,10",2,-1
34,"5,6,11","8,7,6",2,-1
35,"10,7,8","8,5,10",1,-1
36,"10,10","10,4,3",0,1
37,"6,3,11","10,10",2,0
38,"8,6,8","4,10,10",2,-1
39,"10,11,10","9,10",1,1
40,"5,10,10","8,11",2,-1
41,"10,6,10","6,5,10",1,-1
42,"2,10,2","7,6,10",2,0
43,"6,4,10","6,10,10",2,0
44,"6,5,5","10,5,5",2,-1
45,"3,10,3","5,9,10",2,0
46,"6,4,2","10,4,6",2,-1
47,"8,10,8","8,3,5,9",1,-1
48,"9,10","10,5,10",0,0
49,"10,5,11","10,7",2,-1
50,"9,11","10,10",0,0
51,"8,7,4","9,10",2,0
52,"4,11,7","10,8","3,2",-1
52,"4,11","10,8","3,2",-1
53,"3,2","9,5,7",0,-1
54,"10,10","5,10,8",0,0
55,"8,10,4","9,6,10",1,-1
56,"5,4,10","8,2,4,3",2,1
57,"10,11","11,2,10,6",0,1
58,"3,10","11,10",,-1
59,"10,2,6","3,6,4,9",2,0
60,"4,11,2,4","6,10,11","1,1",1
61,"5,10,10","10,3,6",2,-1
62,"11,4,10,3,10","6,9,2","1,1,1",-1
63,"4,10,10","7,8,8",2,-1
64,"10,8,11,5","3,2,10,9","1,1",-1
65,"8,10","10,11",,-1
66,"10,6,3","11,9",2,-1
67,"10,10","10,10",0,0
68,"7,4,10","5,10,7",2,1
69,"2,9,8","11,9",2,-1
70,"11,10","6,4,10",0,1
71,"10,3","3,10,9",0,0
72,"3,10,10","10,8",2,-1
73,"8,5,8","10,2,5",2,1
74,"7,3,9","10,7",2,1
75,"10,7,11,7","7,9,7","1,1",-1
76,"3,10","10,11",,-1
77,"5,10","2,10,10",0,0
78,"2,11,8","10,10",2,1
79,"9,6","2,10,9",0,-1
