round,player_hand,dealer_hand,actions,reward
155,"10,2,10","7,10",2,-1
156,"9,10,5","10,8",1,-1
157,"5,5","10,11",,-1
158,"7,6,3","10,10",2,-1
159,"5,11,10,10","3,5,10","1,1",-1
160,"5,9","10,11",,-1
161,"9,10","2,10,10",0,1
162,"9,4,4","9,3,5",2,0
163,"10,2,10","9,10",2,-1
164,"6,5","10,11",,-1
165,"10,7,10","3,8,3,10",1,-1
166,"9,10,9","9,9",1,-1
167,"3,8,8","7,11",2,1
168,"7,11,6,10","3,10,4","1,1",-1
169,"9,9,6","6,11",1,-1
170,"10,10","10,11",,-1
171,"8,8,10","2,8,9",1,-1
172,"3,4","10,10",0,-1
173,"7,4,8","4,3,5,8",2,-1
174,"10,10,10","10,10",1,-1
175,"6,3,7","4,10,8",2,1
176,"10,6,10","10,10",2,-1
177,"10,2,4","6,10,11",2,-1
178,"10,5,2,3","5,6,7","1,1,0",1
179,"4,8,2","4,11,5",2,-1
180,"2,10,10","7,5,5",2,-1
181,"7,5,8","2,10,8",2,0
182,"5,8,11","6,9,10",2,1
183,"10,6,10","10,2,2,10",2,-1
184,"10,7,5","6,10,5",1,-1
185,"10,3,6","11,4,3",2,1
186,"2,10,2","7,10",2,-1
187,"8,2","10,11",,-1
188,"7,9,7","5,10,3",1,-1
189,"10,8,10","7,11",1,-1
190,"3,4,7","10,9",2,-1
191,"10,10","3,2,6,10",0,-1
192,"9,11","7,8,10",0,1
193,"9,7,5","5,10,11,4",1,1
194,"10,7,9","10,4,5",2,-1
195,"2,6,2","11,2,9,3,10",2,1
196,"10,8,10","2,10,10",1,-1
197,"4,10,2","11,2,10,3,10",2,1
198,"11,4,9","10,4,10",2,1
199,"9,10,10","7,10",1,-1
200,"10,4,3","8,2,7",2,0
201,"8,5,11","10,10",2,-1
202,"10,3,4","11,5,3",2,-1
203,"5,3,5","6,2,5,10",2,1
204,"8,3,6","10,5,11,10",2,1
205,"10,8,5","6,3,11",1,-1
206,"10,11","2,10,10",3,1
206,"10,8","2,10,10",3,1
207,"3,4,7","10,7",2,-1
208,"9,5,5","9,10",2,0
209,"10,10,10","8,10",1,-1
210,"9,6,10","5,6,8",2,-1
211,"4,10,5","6,10,10",2,1
212,"5,2,10","10,6,11",2,0
213,"10,11,11","8,4,9","1,0",-1
214,"10,3,10","2,10,3,2",2,-1
215,"4,3,2","9,11",2,-1
216,"2,11,2","10,10",2,-1
217,"10,6,10","10,10",2,-1
218,"9,4,10","11,5,10,6",2,-1
219,"3,10,10","8,7,10",2,-1
220,"10,4,10","4,2,6,5",2,-1
221,"10,11","4,11,3",0,1
222,"11,10","11,10",,0
223,"10,7,4","10,3,10",2,1
224,"10,7,10","4,8,10",1,-1
225,"8,8,7","5,2,3,7",1,-1
226,"2,10,8","10,7",2,1
227,"4,6,2","6,10,3","3,2",-1
227,"4,6","6,10,3","3,2",-1
228,"10,5,4","11,9",2,-1
229,"2,10,4","10,10",2,-1
230,"10,2,10","3,5,10",2,-1
