round,player_hand,dealer_hand,actions,result
0,"6,6,2","3,6,5,3",2,-1
1,"10,9","6,4,10",0,-1
2,"2,10,8","11,11,8",2,0
3,"10,9","6,9,3",0,1
4,"3,10,2","10,3,4",2,-1
5,"10,11","3,10,4",0,1
6,"7,9,7","10,10","3,3,2",-1
6,"7,10","10,10","3,3,2",-1
6,"7,3","10,10","3,3,2",-1
7,"5,10,10","10,10",2,-1
8,"8,4,11","2,10,9","1,0",-1
9,"10,8","5,2,3,7",0,1
10,"9,10","10,2,11,3,10",0,0
11,"10,11","10,4,5",0,1
12,"10,10","6,9,7",0,0
13,"10,7","6,3,3,5",0,0
14,"7,10","11,7",0,-1
15,"5,8","5,3,10",0,-1
16,"10,4","6,3,10",0,-1
17,"11,2","5,8,2,8",0,0
18,"10,9","11,4,10,11,7",0,0
19,"10,8","8,4,4,10",0,0
20,"6,6","4,2,10,10",0,0
21,"10,9","10,10",0,-1
22,"10,10","10,10",0,0
23,"4,7,10","4,3,3,10",1,1
24,"8,5","5,7,11,4",0,-1
25,"6,10,11","9,9","1,0",-1
26,"10,10","6,10,5",0,-1
27,"2,10,11","10,5,7",2,0
28,"10,4,3","10,5,10",2,0
29,"10,3,3","3,7,11","1,0",-1
30,"5,11","8,4,3,8",0,0
31,"10,11","10,9",0,1
32,"7,4,10","3,2,11,7,10",1,1
33,"4,6,10","5,6,7","1,0",1
34,"9,9","2,7,9",0,0
35,"10,10","10,7",0,1
36,"10,6,8","10,5,3",2,-1
37,"8,5,2","10,2,7",2,-1
38,"10,6,5","10,7",2,1
39,"8,10","2,10,6",0,0
40,"10,10","11,2,2,10,4",0,1
41,"8,10","5,10,6",0,-1
42,"9,7","5,8,10",0,0
43,"10,4,10","4,3,9,10",1,-1
44,"5,8,6","10,10",2,-1
45,"3,5","10,10",0,-1
46,"9,10","9,9",0,1
47,"5,2,2","7,2,9",2,-1
48,"10,7","10,10",0,-1
49,"8,5,2,10","2,2,3,5,5","1,1",-1
50,"3,10,7","10,8",2,1
51,"11,6","9,10",0,-1
52,"10,8","11,3,3",0,1
53,"10,10","9,6,7",0,0
54,"10,10","5,2,9,4",0,0
55,"10,4","6,2,10",0,-1
56,"10,8","5,3,10",0,0
57,"8,9","2,10,11,7",0,-1
58,"8,4,10","7,10",1,-1
59,"2,5,8","6,6,3,10","3,2",0
59,"2,7","6,6,3,10","3,2",0
60,"3,10,8","6,6,11,10",1,1
61,"4,10","6,7,6",0,-1
62,"10,10","10,6,8",0,0
63,"10,2,10","10,3,5",2,-1
64,"11,5,9","10,10","3,2",-1
64,"11,7","10,10","3,2",-1
65,"2,10,7","11,8",2,0
66,"3,6,11","4,10,11,2","1,0",1
67,"9,7,5","10,6,10",2,1
68,"3,9,10","5,5,5,11,11",1,-1
69,"2,10,3","7,10","1,0",-1
70,"8,10","6,6,4,10",0,0
71,"4,6,9","11,5,10,9",2,0
72,"11,5","4,10,11,10",0,0
73,"6,11","10,8",0,-1
74,"10,7","10,2,5",0,0
75,"4,10,10","10,10",2,-1
76,"10,8","4,4,7,10",0,0
77,"8,10","4,10,3",0,1
78,"10,8","2,10,11,7",0,-1
79,"7,6","11,10",,-1
80,"2,8,11","10,8",2,1
81,"10,7","10,2,3,8",0,0
82,"10,8","7,8,6",0,-1
83,"3,5,9","9,4,3,4",2,-1
84,"5,8,4","8,3,10",2,-1
85,"8,10","6,8,9",0,0
86,"10,9","9,7,6",0,0
87,"11,10","9,10",0,1
88,"8,10","10,2,9",0,-1
89,"2,10,5","10,9",2,-1
90,"4,10,5","9,7,10",2,0
91,"10,8","8,10",0,0
92,"10,10","10,5,10",0,0
93,"10,6","7,10",0,-1
94,"8,11","10,10",0,-1
95,"8,4,4,4","3,9,11,10","1,1,0",0
96,"7,8,4","10,4,8",2,0
97,"5,11","7,11",0,-1
98,"10,8","9,10",0,-1
99,"4,3,10,10","4,9,3,4","1,1",-1
100,"9,8,10","9,9",2,-1
101,"7,11","5,2,4,10",0,-1
102,"4,10","10,11",,-1
103,"6,8,2","10,8",2,-1
104,"5,10","11,10",,-1
105,"9,8,4","4,10,10",1,1
106,"2,6,3","6,9,3",2,-1
107,"11,8,11","10,3,10","3,2",0
107,"11,5","10,3,10","3,2",0
108,"2,5,5","6,10,11",2,-1
109,"10,10","9,4,5",0,1
110,"2,6,4","10,9",2,-1
111,"6,2,11","6,3,10","1,0",0
112,"10,3,10","10,3,2,7",2,-1
113,"10,11","7,5,11,7",0,1
114,"10,9,3","2,7,10",1,-1
115,"6,4,4,2,10","3,4,3,8","1,1,1",-1
116,"5,10,10","7,5,7",1,-1
117,"10,10","3,10,10",0,0
118,"10,10","3,10,5",0,1
119,"2,10,10","6,10,7",1,-1
120,"11,5","7,3,8",0,-1
121,"6,10","10,10",0,-1
122,"2,10,4","7,10","1,0",-1
123,"6,5,10","10,10",2,1
124,"6,10","2,7,9","3,0",-1
124,"6,4","2,7,9","3,0",-1
125,"6,7,3","8,6,5",2,-1
126,"2,5,8","5,10,10","1,0",0
127,"3,11,7","7,3,9","3,2",1
127,"3,5","7,3,9","3,2",-1
128,"5,10","4,11,3",0,-1
129,"10,10","10,10",0,0
130,"8,11","10,11",,-1
131,"8,5,5","10,8",2,0
132,"10,3,9","2,5,10",1,-1
133,"2,10,10","9,4,10",2,-1
134,"10,6","7,2,5,4",0,-1
135,"8,10","10,6,8",0,0
136,"10,4,3","4,4,3,5,10","1,0",0
137,"10,9","9,11",0,-1
138,"6,7,4","7,7,9",2,0
139,"7,11,10","10,4,10",2,0
140,"7,11","4,6,8",0,0
141,"10,11","9,10",0,1
142,"2,3,7,3,11,10","2,6,10","1,1,1,1",-1
143,"4,6,6","8,8,11",2,-1
144,"7,10,9","10,6,2",2,-1
145,"10,3,9","10,9",2,-1
146,"10,3,10","3,10,10",1,-1
147,"7,8,6","10,5,8",2,1
148,"8,9","3,10,6",0,-1
149,"11,6","7,10",0,0
150,"10,10","5,8,5",0,1
151,"10,5,10","10,2,7",2,-1
152,"11,10","7,6,10",0,1
153,"6,10,11","10,8",2,-1
154,"10,3,9","8,11",2,-1
155,"8,10","4,6,10",0,-1
156,"10,8","3,10,10",0,0
157,"8,10","10,2,10",0,0
158,"11,10","10,10",0,1
159,"2,10,10","2,3,9,10",1,-1
160,"5,10","8,9",0,-1
161,"7,10","10,5,10",0,0
162,"3,2,9","2,11,10,6","1,0",-1
163,"9,10","2,10,9",0,-1
164,"2,9,10","2,10,3,10",1,1
165,"3,4","11,4,10,11,10",0,0
166,"9,3,11","8,10",2,-1
167,"7,4,9","2,10,3,9","1,0",0
168,"9,10","6,11",0,1
169,"7,10","5,11,10,10",0,0
170,"10,9","4,11,2",0,1
171,"5,2,10","3,11,10,10","1,0",0
172,"10,6","2,10,4,4",0,-1
173,"6,10","5,4,10",0,-1
174,"10,10","2,2,8,8",0,0
175,"10,8","8,3,2,5",0,0
176,"3,4,10","5,8,6",2,-1
177,"10,3","4,10,5",0,-1
178,"3,6,5","6,11","1,0",-1
179,"2,10","7,5,10",0,0
180,"6,10","6,8,8",0,0
181,"7,8","10,6,8",0,0
182,"8,7","11,4,5",0,-1
183,"10,5","8,10",0,-1
184,"10,9","10,9",0,0
185,"6,8,11","2,3,3,3,11,10","1,0",0
186,"10,10","10,10",0,0
187,"10,6","9,11",0,-1
188,"11,11,5","4,11,10,4","1,0",-1
189,"11,3","10,10",0,-1
190,"10,8","9,8",0,1
191,"4,10","9,2,7",0,-1
192,"8,10","5,10,7",0,0
193,"4,6,7","5,11,2","1,0",-1
194,"7,10","11,11,10,3,10",0,0
195,"4,10","10,9",0,-1
196,"10,7","10,4,4",0,-1
197,"10,10","2,10,9",0,-1
198,"10,10","3,2,6,10",0,-1
