round,player_hand,dealer_hand,actions,reward
0,"10,3,8","7,4,7",1,1
1,"4,8,9","10,10",2,1
2,"10,8,10","3,10,3,4",1,-1
3,"11,10,10","9,11",1,1
4,"4,7,2,6,6","5,6,11,10","1,1,1",-1
5,"10,9,7","7,8,8",1,-1
6,"4,10,10","5,10,3",1,-1
7,"10,2,10","4,9,10",1,-1
8,"2,9,10","6,6,7",1,1
9,"10,3,7","10,3,4",2,1
10,"2,9,8,4","4,10,10","1,1",-1
11,"4,7,7,2,10","5,5,5,3","1,1,1",-1
12,"3,5","10,11",,-1
13,"10,6,11,4","3,4,5,9","3,1,1",0
13,"10,4","3,4,5,9","3,1,1",-1
14,"7,2","3,10,8",0,-1
15,"10,10,3","8,6,2,9",1,-1
16,"10,2","6,6,9","3,0",-1
16,"10,11","6,6,9","3,0",0
17,"7,10","10,10",0,-1
18,"10,5,5,10","4,10,5","1,1",-1
19,"3,10,4","11,11,10,10",2,1
20,"10,7,6","6,11",1,-1
21,"2,9","11,10",,-1
22,"10,11,11","8,10","1,0",-1
23,"5,2,2","10,10",2,-1
24,"8,5,10","8,10",2,-1
25,"3,6,2","9,7,3","3,2",-1
25,"3,8","9,7,3","3,2",-1
26,"6,3,5","10,2,2,11,8",2,1
27,"11,10","5,11,7,10",0,1
28,"9,7,10","3,7,10",1,-1
29,"4,11,9,2,10","6,10,9","1,1,1",-1
30,"10,4,3,10","2,6,11","1,1",-1
31,"4,10,2","10,10",2,-1
32,"8,7,10","2,9,2,10",1,-1
33,"6,10,7","5,5,5,10","3,1",-1
33,"6,3","5,5,5,10","3,1",1
34,"3,5","2,8,10",0,-1
35,"4,5,10","9,10",2,0
36,"8,10,2,10","9,5,7","1,1",-1
37,"3,11","7,10",0,-1
38,"10,4,6","10,9",2,1
39,"7,10","9,3,10",0,1
40,"8,10","10,10",0,-1
41,"4,6,10","10,7","3,2",1
41,"4,3","10,7","3,2",-1
42,"10,6,9","6,4,9","3,1",-1
42,"10,10","6,4,9","3,1",1
43,"3,8,10","10,6,6",2,1
44,"10,11","3,8,6",3,1
44,"10,8","3,8,6",3,1
45,"5,9,4,5","2,9,11,10","1,1",-1
46,"11,5,10,10","2,10,2,2,5","1,1",-1
47,"11,8,5,11,7","2,10,4,8","1,1,1",-1
48,"7,10,10","10,8",2,-1
49,"7,9,5","4,3,7,10",1,1
50,"10,2,10","8,10",2,-1
51,"10,9","10,5,10",0,1
52,"9,10,10","5,11,10,6",1,-1
53,"11,3,7","10,8",2,1
54,"2,10,8","7,10",2,1
55,"11,5,9","10,10",2,-1
56,"3,4","2,6,5,10",0,1
57,"7,4,10","11,7",2,1
58,"6,3,4","6,6,9",2,-1
59,"10,4,4,8","2,2,2,3,3,5","3,1,1",-1
59,"10,10","2,2,2,3,3,5","3,1,1",1
60,"6,8,4","10,2,2,10",2,1
61,"2,5,3","3,4,10",2,-1
62,"10,7,11","9,8",2,1
63,"2,10,9","4,10,5",2,1
64,"5,3,10","10,10",2,-1
65,"7,11,3","4,6,3,7",1,1
66,"10,8,10","9,10","3,3,2",-1
66,"10,3","9,10","3,3,2",-1
66,"10,10","9,10","3,3,2",1
67,"11,4,8","4,10,11,6",2,-1
68,"11,2,8","10,6,2",2,1
69,"10,8,10","6,7,4",1,-1
70,"10,11,10","11,8",2,1
71,"10,8,7","10,9",2,-1
72,"5,11,3","6,7,11,10",2,1
73,"7,10,3,10","3,10,10","1,1",-1
74,"4,10,10","2,10,2,10","3,2",-1
74,"4,7","2,10,2,10","3,2",1
75,"4,9,7","10,10",2,0
76,"6,5,4","8,2,2,8",2,-1
77,"5,10,6","10,9",2,1
78,"10,11","10,10",3,1
78,"10,10","10,10",3,0
79,"2,9,10","11,2,5",2,1
80,"9,10,10","10,8",2,-1
81,"10,5","11,10",,-1
