round,player_hand,dealer_hand,actions,result
0,"10,10,6","10,5,11,10",1,-1
1,"10,3,11","7,8,5",2,-1
2,"6,3,10","2,8,9",2,0
3,"3,10,10","11,4,8,10",2,-1
4,"9,10,9","9,10",1,-1
5,"3,4,7","11,2,5","1,0",-1
6,"7,10,5","10,6,2",2,-1
7,"7,7,11","5,10,8",2,0
8,"10,3,2","3,2,6,4,10",2,0
9,"10,2,8","9,5,9",2,0
10,"10,9,10","3,9,4,8",1,-1
11,"7,10,6","10,10",1,-1
12,"5,4,10","6,6,11,10",2,0
13,"10,8,10","11,5,2",1,-1
14,"10,6,3","9,5,10",2,0
15,"8,2,11","10,4,7",2,0
16,"11,4","10,11",,-1
17,"2,4,10","7,10",2,-1
18,"9,2,10","2,6,5,10",2,1
19,"3,8,10","7,11",2,1
20,"9,10,10","6,7,10",1,-1
21,"10,3,10","3,8,9",1,-1
22,"11,4,7","8,4,2,3",2,-1
23,"10,10,5","9,10",1,-1
24,"10,10,8","5,6,2,11,7",1,-1
25,"6,6,5","4,7,10",2,-1
26,"10,3,9","8,10",2,-1
27,"10,10,9","3,8,10",1,-1
28,"10,2,3","4,5,10",2,-1
29,"6,10,6","11,8",2,-1
30,"3,10,10","7,10",2,-1
31,"2,5","10,11",,-1
32,"4,2,4","10,5,2","1,0",-1
33,"8,10,10","10,2,7",1,-1
34,"3,10,9","4,5,11",2,-1
35,"3,10,7","4,8,6",2,1
36,"3,9,9","6,11",2,1
37,"10,2,10","3,8,11,6",2,-1
38,"10,10,6","5,8,10",1,-1
39,"8,10,11,10","10,2,10","1,1",-1
40,"10,3,6","2,7,10",2,0
41,"7,2,11","9,3,9",2,-1
42,"5,6,4","10,5,9",2,0
43,"4,8,7","4,9,10",2,0
44,"3,2,8","5,10,5",2,-1
45,"4,5","11,10",,-1
46,"3,11,10","9,3,10",2,0
47,"10,9,6","10,10",1,-1
48,"4,4,10","6,10,9",2,0
49,"7,6,7","4,2,7,7",2,0
50,"9,10,10","10,8",1,-1
51,"2,11,10","3,10,10",2,0
52,"8,3,11","10,10",2,-1
53,"11,9,10,8","11,3,10,10","1,1",-1
54,"10,4,3","4,10,4",2,-1
55,"8,9,10","7,2,10",2,-1
56,"7,5,2","6,7,4",2,-1
57,"5,10,10","2,9,5,10",2,-1
58,"2,6,3,7,10","10,6,5","1,1,1",-1
59,"10,2,7","2,6,5,4",2,1
60,"7,10","11,10",,-1
61,"10,3,4","10,10",2,-1
62,"9,10,6","3,10,11,6",1,-1
63,"10,10,8","7,4,10",1,-1
64,"5,9,9","11,11,7",2,-1
65,"2,6,5","5,9,2,10",2,0
66,"10,6,11","4,6,5,10",2,0
67,"9,6,10","4,2,5,7",2,-1
68,"3,8,10","8,10",2,1
69,"9,7","10,11",,-1
70,"9,10,10","2,2,11,8,3,4",1,-1
71,"10,4,10","9,8",2,-1
72,"10,2,3","7,10",2,-1
73,"6,3,5","7,10",2,-1
74,"10,11,7,11,11,10","2,10,10","1,1,1,1",-1
