round,player_hand,dealer_hand,actions,result
75,"3,2,10","4,10,5",2,-1
76,"10,4,6","2,9,9",2,0
77,"10,9,10","3,8,10",1,-1
78,"10,4,8","4,3,9,6",2,-1
79,"10,8,7","10,5,5",2,-1
80,"6,10,9","3,9,5",2,-1
81,"8,8,11","11,9",2,-1
82,"3,10,4","8,10",2,-1
83,"9,10,3","6,10,10",1,-1
84,"7,5,6","10,2,8",2,-1
85,"7,5,4","2,10,10","1,0",0
86,"10,5,6","4,2,10,10",2,1
87,"4,10,10","10,6,3",2,-1
88,"10,8,3","5,11,9,8",1,1
89,"6,4,3","11,2,10,8",2,-1
90,"10,7","11,10",,-1
91,"7,7,9","10,10",2,-1
92,"11,10","3,10,2,2",0,1
93,"6,10,10","4,6,10",2,-1
94,"7,10,10","8,7,7",1,-1
95,"9,11,10,10","4,10,3","1,1",-1
96,"2,2,10","2,5,9,10",2,0
97,"8,10","10,10",0,-1
98,"6,3,10","5,9,8",2,0
99,"4,9","10,11",,-1
100,"11,11,10","10,6,6",2,0
101,"3,2,11","10,2,10",2,0
102,"6,5,10","10,6,7",2,1
103,"10,11","4,10,8",0,1
104,"7,6,10","4,10,5",2,-1
105,"8,6,7","7,4,10",2,0
106,"10,9,3","3,3,8,10",1,-1
107,"5,10,10","2,11,9,11,9",2,-1
108,"10,10,11","2,10,4,6",1,1
109,"8,9,3,10","9,6,9","1,1",-1
110,"11,6,2,8,7","3,3,2,8,4","1,1,1",-1
111,"5,7,9","5,10,5",2,1
112,"7,10,8","2,6,10",1,-1
113,"3,10","10,11",,-1
114,"6,10,9","10,10",2,-1
115,"3,9,7","2,10,8",2,-1
116,"2,5,11","5,11,6,10",2,0
117,"7,3,4","11,5,2",2,-1
118,"4,10,4","5,9,10",2,0
119,"11,7","10,4,10",0,0
120,"6,10,7","3,10,8",1,-1
121,"8,10,10","3,10,4",1,-1
122,"6,4,2","10,8",2,-1
123,"3,6,4","3,2,10,9",2,0
124,"11,3,11","9,10",2,-1
125,"10,10,8","10,5,7",1,-1
126,"10,10,7","2,11,4",1,-1
127,"10,5,6","7,10",2,1
128,"10,3,10","6,7,9",2,-1
129,"6,10,5","9,3,8",2,1
130,"10,5,9","7,11",2,-1
131,"8,10,10","8,10",1,-1
132,"4,3,11","5,10,10",2,0
133,"7,6,10","10,7",2,-1
134,"11,6","11,10",,-1
135,"10,4,9","8,4,2,10",2,-1
136,"5,8,5","3,9,4,7",2,0
137,"6,10,10","10,10",2,-1
138,"10,4,11","10,10",2,-1
139,"11,10,3","10,2,11,8","1,0",-1
140,"2,10,5","2,9,10",2,-1
141,"2,9,7","10,9",2,-1
142,"8,6,10","6,3,6,8",2,-1
143,"10,2,10","9,10",2,-1
144,"10,10,10","4,7,11,4,11",1,-1
145,"3,9,11","9,5,10",2,0
146,"6,10,5","8,7,4",2,1
147,"3,8,7","10,6,10",2,0
148,"10,9,5","8,7,4",1,-1
149,"2,6,10","5,10,8",2,0
150,"10,10,4","4,6,11",1,-1
151,"3,7,7","7,10",2,0
152,"10,6,10","5,8,7",2,-1
153,"10,11,2","5,10,5","1,0",-1
154,"9,8,2,11,9","8,10","1,1,1",-1
155,"4,2,10","6,10,3",2,-1
156,"8,9,3","10,10",2,0
157,"4,10,11","6,10,2",2,-1
158,"10,10,10","7,10",1,-1
159,"4,4,5","2,3,10,10",2,0
160,"7,5,9","5,10,8",2,1
161,"6,10,9","10,10",2,-1
162,"8,2,5","3,9,10",2,0
163,"4,11,7","10,10",2,-1
164,"10,8,10","2,10,6",1,-1
165,"10,11,5","6,10,7","1,0",0
166,"10,10,4","10,5,10",1,-1
167,"7,8,10","4,2,10,5",2,-1
168,"11,10,10","3,2,4,2,11,6",1,1
169,"3,11,9","8,10",2,-1
170,"5,10,7","8,4,6",2,-1
171,"2,8,11","10,5,2",2,1
172,"10,8,2,11","7,10","1,1",1
173,"10,4,6","10,9",2,1
174,"3,3,9","5,3,8,2",2,-1
175,"9,10,10","10,10",1,-1
176,"8,10,11,4","5,9,6","1,1",-1
177,"7,4","10,11",,-1
178,"10,10,6","7,6,6",1,-1
179,"8,8,10","9,2,2,7",2,-1
180,"7,6,2","9,10",2,-1
181,"11,11,3","5,4,11",2,-1
182,"10,9,4","2,3,10,10",1,-1
183,"8,10,10","11,3,10,10",1,-1
184,"10,10,10","8,4,5",1,-1
185,"10,10,10","8,11",1,-1
186,"8,8,10","11,6",2,-1
187,"5,5,3","2,10,9",2,-1
188,"10,3","10,11",,-1
189,"2,10,7","10,10",2,-1
190,"10,2,4","4,11,10,4",2,-1
191,"5,2,9","3,10,10",2,0
192,"6,10,7","3,9,6",2,-1
193,"10,2,8","8,10",2,1
194,"10,10,6","10,10",1,-1
195,"11,11,5","7,10",2,0
196,"9,2,10","10,9",2,1
197,"9,3,10","4,8,4,7",2,-1
198,"2,10,3","10,3,5",2,-1
199,"7,4,3","11,6",2,-1
200,"2,6,10","5,6,7",2,0
201,"10,2,5","11,5,10,10",2,0
202,"7,8,5","3,11,4",2,1
203,"11,7","11,10",,-1
204,"3,10,4","10,10",2,-1
205,"9,10,7","10,6,8",1,-1
206,"9,10,2","10,4,7",1,0
207,"10,2,10","6,8,6",2,-1
208,"7,10,10","5,3,11",1,-1
209,"10,9,10","6,5,10",1,-1
210,"10,7,10","3,5,6,10",1,-1
211,"11,10,6,9","4,2,9,11,9","1,1",-1
212,"4,10,10","2,7,8",2,-1
213,"3,10,7","10,2,2,11,10",2,0
214,"10,7,3,10","4,10,9","1,1",-1
215,"2,10,8","10,9",2,1
216,"10,10,10","2,4,11",1,-1
217,"9,7,10","5,8,5",2,-1
218,"5,2","11,11,8",0,-1
219,"8,6,11","3,10,4",2,-1
220,"6,10,6","2,10,9",2,-1
221,"6,10,6","9,4,2,9",2,-1
222,"4,4","10,2,8",0,-1
223,"10,10,2","3,2,7,3,11,10",1,-1
224,"10,8,3","11,6",2,1
225,"5,10,10","7,4,11,10",2,-1
226,"10,10","7,10",0,1
227,"10,9,5","8,10",1,-1
228,"10,10,7","2,3,3,8,9",1,-1
229,"5,11,3","10,4,10",2,0
230,"10,5,9","10,10",2,-1
231,"7,10","11,10",,-1
232,"2,11","11,10",,-1
233,"3,4,5","4,9,10",2,0
234,"5,8,9","6,6,7",2,-1
235,"10,6,8","6,10,4",2,-1
236,"10,2,3","8,2,10",2,-1
237,"2,11","10,11",,-1
238,"10,2,7","10,9",2,0
239,"10,10,8","6,10,11",1,-1
240,"10,4,3","10,10",2,-1
241,"10,6,6","5,7,9",2,-1
242,"5,3,9","6,11",2,0
243,"10,10,4","10,8",1,-1
244,"11,5,2","10,9",2,-1
245,"9,6,10","2,10,2,10",2,-1
246,"8,6","10,11",,-1
247,"10,6,5","11,7",2,1
248,"7,3,8","4,9,10",2,0
249,"3,10,10","5,4,8",2,-1
250,"10,11,6","10,10","1,0",-1
251,"8,9,4","10,10",2,1
252,"7,6,2","4,3,5,4,11",2,-1
253,"11,10,10","11,5,10,10",1,1
254,"7,4,10","9,3,10",2,1
255,"8,10,3","8,9",1,1
256,"7,10,2,8","4,10,6","1,1",-1
257,"2,10,10","8,6,5",2,-1
258,"9,5,7","2,10,3,11,9",2,1
259,"2,3,8","9,10","1,0",-1
260,"11,10,5","11,8","1,0",-1
261,"6,10,8","10,4,10",2,-1
262,"10,2,8","5,4,10",2,1
263,"10,9,3","10,5,4",1,-1
264,"7,2","11,10",,-1
265,"7,10,6","10,2,5",2,-1
266,"11,6,10","10,4,7",2,-1
267,"7,11","10,5,10",0,0
268,"6,8,9","10,7",2,-1
269,"4,10,10","3,6,10",2,-1
270,"4,10,4","5,11,2",2,0
271,"3,2,10","4,10,3",2,-1
272,"10,2,9","7,6,9",2,1
273,"8,10,10","5,10,5",1,-1
274,"8,9,7","4,8,10",1,-1
275,"3,10,6","9,3,5",2,1
276,"5,10,10","10,9",2,-1
277,"4,10,4","3,9,3,11,10",2,0
278,"6,2,10","6,10,2",2,0
279,"10,5,8","7,10",2,-1
280,"10,11","4,5,7,6",0,1
281,"7,10,4","3,4,2,10",1,1
282,"8,6,2","11,5,5",2,-1
283,"11,10","10,11",,-1
284,"11,10","6,10,10",0,1
285,"7,3,7","3,6,9",2,-1
286,"5,3,5","10,10",2,-1
287,"10,8,8","2,9,10",1,-1
288,"10,9,6","7,10",1,-1
289,"6,3,2","5,10,3",2,-1
290,"5,10,10","10,7",2,-1
291,"11,9,11","6,10,4",1,1
292,"2,9,10","10,10",2,1
293,"10,8,7","7,7,10",1,-1
294,"8,9,3,5","3,10,6","1,1",-1
295,"10,4,10","11,4,8,10",2,-1
296,"3,2,8","4,3,5,10",2,0
297,"7,4,9","8,10",2,1
298,"5,10","10,11",,-1
299,"4,10,9","6,11",2,-1
300,"11,2,10","3,9,7",2,-1
301,"10,7,6","9,5,10",2,-1
302,"10,8,10","6,6,10",1,-1
303,"10,3,2","5,4,2,10",2,-1
304,"11,2,10","8,10",2,-1
305,"10,10,9","6,7,9",1,-1
306,"10,9,2","10,7",1,1
307,"3,4","10,10",0,-1
308,"11,11,6","5,5,2,7",2,-1
309,"4,10,5","10,8",2,1
310,"3,5","10,6,9",0,0
311,"10,8,11,3","3,10,10","1,1",-1
312,"8,10","10,10",0,-1
313,"9,2,4","5,5,10",2,-1
314,"4,2,8","4,3,10",2,-1
315,"10,10,4","5,10,11,9",1,-1
316,"3,10,11","6,7,10",2,0
317,"5,10,10","3,2,7,10",2,-1
318,"6,7,2","9,10",2,-1
319,"9,7,7","10,2,5",2,-1
320,"10,5,11","2,10,4,10",2,0
321,"3,6,11","4,9,6",2,1
322,"10,9,9","5,6,8",1,-1
323,"10,2,8","2,3,10,3",2,1
324,"10,5,7","3,4,10",2,-1
325,"10,10","11,10",,-1
326,"2,10,10","4,11,11,10,6",2,-1
327,"3,8,9","10,8",2,1
328,"4,7,6","10,10",2,-1
329,"9,6,7","3,5,9",2,-1
330,"10,6,3","4,3,10",2,1
331,"10,10,7","10,2,11,5",1,-1
332,"10,4,9","8,10",2,-1
333,"3,8,9","5,2,10",2,1
334,"11,3,10","2,4,11",2,-1
335,"8,5,6","10,10",2,-1
336,"5,8,2","2,9,10",2,-1
337,"10,7,6","4,8,11,7",1,-1
338,"10,10,3","4,11,10,3",1,-1
339,"7,4,7","10,6,6",2,0
340,"9,10,11,2","3,6,10","1,1",-1
341,"10,10,9","4,3,4,11,10",1,-1
342,"4,5","11,10",,-1
343,"10,8,8","6,10,10",1,-1
344,"7,3,10","2,10,10",2,0
345,"9,6,7","10,3,10",2,-1
346,"9,4,7","2,2,10,7",2,-1
347,"5,5,10","7,10",2,1
348,"10,8,11","11,3,3",2,1
349,"4,4","11,10",,-1
350,"7,7,8","10,10",2,-1
351,"7,11,3","4,10,2,5",1,0
352,"9,10,4","2,6,10",1,-1
353,"10,10,6","8,2,8",1,-1
354,"6,5,6","10,10",2,-1
355,"6,10,10","3,3,8,10",2,-1
356,"8,10","10,10",0,-1
357,"4,2,8","2,11,4",2,-1
358,"11,10","2,7,6,9",0,1
359,"10,3,10","4,9,3,10",2,-1
360,"7,2","11,10",,-1
361,"10,10,5","5,10,10",1,-1
362,"7,3,3","10,8",2,-1
363,"5,8,10","9,4,2,10",2,-1
364,"10,8,5","10,10",2,-1
365,"10,4","10,11",,-1
366,"10,5,9","10,4,6",2,-1
367,"11,11,9","6,8,11,3",2,1
368,"10,2,2","10,10",2,-1
369,"5,10,9","3,10,6",2,-1
370,"2,5,11","2,7,4,10",2,0
371,"10,10,7","6,6,10",1,-1
372,"9,10","11,3,3",0,1
373,"8,11,10,5","4,10,7","1,1",-1
374,"10,8","10,10",0,-1
375,"9,8","3,2,10,10",0,0
376,"4,11,6","4,10,6",2,1
377,"9,6,10","9,8",2,-1
378,"10,2,4","10,10",2,-1
379,"9,10","11,4,4",0,0
380,"10,2,10","11,7",2,-1
381,"2,10,10","3,9,8",2,-1
382,"5,5,11","3,7,6,6",2,1
383,"4,10,5","5,3,10",2,1
384,"10,7","7,10",0,0
385,"10,10,9","3,3,8,10",1,-1
386,"6,2,11","7,5,2,9",2,0
387,"9,3,7","10,10",2,-1
388,"5,8,2","5,6,10",2,-1
389,"10,10,10","10,8",1,-1
390,"6,10,4","9,11",2,0
391,"4,4","10,10",0,-1
392,"10,3,7","7,11",2,1
393,"10,8","10,3,9",0,0
394,"2,7,3","6,8,7",2,-1
395,"4,9,10","10,10",2,-1
396,"9,10,10","6,4,5,6",1,-1
397,"5,2","11,9",0,-1
398,"10,11,11","11,2,10,8","1,0",-1
399,"5,6,7","10,3,8",2,-1
400,"3,5","11,10",,-1
401,"8,3,10","7,4,4,10",2,1
402,"10,3,8","6,11",2,1
403,"8,10,10","7,10",1,-1
404,"9,2,7","10,9",2,-1
405,"10,5,10","11,4,4",2,-1
406,"11,3,7","9,2,6",2,1
407,"10,10,10","2,10,9",1,-1
408,"3,10,10","11,7",2,-1
409,"8,10,3","4,10,2,4",1,1
410,"10,10,9","3,10,5",1,-1
411,"9,5,6","2,2,10,6",2,0
412,"10,9,11,10","10,7","1,1",-1
413,"4,6,6","8,3,10",2,-1
414,"11,5,8","10,8",2,-1
415,"4,10,6","3,10,9",2,0
416,"2,8,10","2,10,3,10",2,0
417,"4,2,10","8,6,10","1,0",0
418,"10,7,10","10,6,5",2,-1
419,"6,11,3","5,10,11,9",2,0
420,"10,9,10","9,4,10",1,-1
421,"8,10,7","7,10",1,-1
422,"10,10,4","6,10,4",1,-1
423,"6,8,11","3,2,10,6",2,-1
424,"10,3,5","6,9,10",2,0
425,"10,5,9","7,5,11,4",2,-1
426,"9,11,10,8","7,10","1,1",-1
427,"10,2,10","10,3,10",2,-1
428,"10,10,2","5,8,2,10",1,-1
429,"8,4,10","5,10,3",2,-1
430,"7,3,10","3,10,10",2,0
431,"2,4","10,9",0,-1
432,"6,7,9","11,11,6",2,-1
433,"2,10,7","5,11,10,2",2,1
434,"5,4,9","8,3,10",2,-1
435,"10,9,2","8,10",1,1
436,"9,5,9","3,2,10,7",2,-1
437,"10,4","11,10",,-1
438,"10,7,7","8,4,6",2,-1
439,"10,8,5","8,10",1,-1
440,"10,6","10,11",,-1
441,"10,7","5,10,2",0,0
442,"6,10,11","2,10,4,4",2,-1
443,"3,10,5","9,11",2,-1
444,"10,10,2","10,8",1,-1
445,"10,4,6","6,3,8",2,1
446,"8,7,3","5,10,10",2,0
447,"4,10,10","6,3,8",2,-1
448,"10,7,11","10,6,10","1,0",0
449,"9,9,5","9,9",1,-1
450,"10,2,2","4,11,10,5",2,-1
451,"2,8,10","8,10",2,1
452,"11,4,9","9,10",2,-1
453,"10,9,3","8,6,3",1,-1
454,"5,10,10","11,4,5",2,-1
455,"5,7,10","6,6,10",2,-1
456,"8,10,2,6","2,5,11","1,1",-1
457,"4,11,10","10,10",2,-1
458,"11,7,2,3","10,4,3","1,1,0",-1
459,"10,10,11","10,6,9",1,1
460,"4,10,9","10,10",2,-1
461,"3,5,2","4,5,2,11,3,10",2,0
462,"10,6,4","8,10",2,1
463,"5,11,8","8,10",2,-1
464,"9,6,10","5,9,10",2,-1
465,"9,10,11,10","4,7,10","1,1",-1
466,"3,5,2","3,7,6,10",2,0
467,"8,10,2,6","5,11,10,8","1,1",-1
468,"10,9,10","2,5,11",1,-1
469,"7,6,10","4,10,10",2,-1
470,"10,10,10","3,5,3,7",1,-1
471,"2,2","10,8",0,-1
472,"9,10,9","10,10",1,-1
473,"10,10,4","3,6,9",1,-1
474,"5,10,10","10,10",2,-1
475,"3,10,10","8,11",2,-1
476,"9,7,4","10,8",2,1
477,"2,7,5","2,7,10",2,-1
478,"10,6,3","11,11,8",2,-1
479,"9,11,10,2","10,3,4","1,1",-1
480,"7,10","8,3,11,7",0,-1
481,"8,9","7,8,11,10",0,0
482,"9,9","10,2,10",0,0
483,"10,6,7","5,4,5,10",2,-1
484,"3,4,5","3,2,6,11,6",2,-1
485,"4,10,8","10,10",2,-1
486,"6,8,10","11,8",2,-1
487,"5,10,10","4,2,2,5,3,6",2,-1
488,"9,3,4","10,7",2,-1
489,"10,6,10","6,7,11,8",2,-1
490,"11,8,4","4,10,10","1,0",0
491,"10,3,5","10,10",2,-1
492,"10,2,9","10,10",2,1
493,"8,3,2","8,10",2,-1
494,"11,11,2","11,5,10,4",2,-1
495,"6,7,3","10,10",2,-1
496,"3,10,8","10,6,3",2,1
497,"2,10,10","10,10",2,-1
498,"10,6,10","9,11",2,-1
499,"7,10","5,9,4",0,-1
500,"9,10,4","2,6,5,4",1,-1
501,"6,2,10","6,3,10",2,-1
502,"10,8,10","10,8",1,-1
503,"11,10","3,4,3,10",0,1
504,"10,5,8","10,6,4",2,-1
505,"5,10,11","10,2,11,11,2,7",2,0
506,"9,8,6","7,10",1,-1
507,"9,10,5","4,7,9",1,-1
508,"11,10","10,10",0,1
509,"6,2","9,10",0,-1
510,"11,4,8","10,6,4",2,-1
511,"5,10,4","10,10",2,-1
512,"10,9,6","5,3,7,9",1,-1
513,"8,7,5","10,6,10",2,0
514,"8,5","10,11",,-1
515,"7,3,8","2,4,2,7,3",2,0
516,"11,4,3","10,6,10",2,0
517,"11,8,2","11,9",1,1
518,"2,10,10","8,3,4,6",2,-1
519,"10,10,4","10,7",1,-1
520,"7,5,10","5,6,10",2,-1
521,"8,2,6","3,9,7",2,-1
522,"10,7","2,5,4,10",0,-1
523,"8,11,4","10,7","1,0",-1
524,"3,10,5","9,9",2,0
525,"4,6,10","9,7,8",2,0
526,"6,10,10","2,5,2,10",2,-1
527,"10,10,10","2,3,8,10",1,-1
528,"10,10,5","2,4,10,7",1,-1
529,"11,7","9,8",0,1
530,"2,10,6","8,10",2,0
531,"6,3,9","3,4,6,7",2,-1
532,"5,7,10","4,10,5",2,-1
533,"2,4,9","3,10,9",2,0
534,"3,7,4","2,5,8,8",2,0
535,"10,10,9","10,10",1,-1
536,"8,10","11,11,10,6",0,0
537,"10,3,6","2,10,10",2,0
538,"10,9,11,10","5,7,8","1,1",-1
539,"6,10,10","4,4,10",2,-1
540,"6,11,7","10,10",2,-1
541,"3,11,10","9,5,10",2,0
542,"4,8,7","10,3,11,9",2,0
543,"10,6,10","2,8,10",2,-1
544,"2,11,4","10,10",2,-1
545,"8,8,10","11,3,2,10,3",2,-1
546,"4,5,5","2,10,10",2,0
547,"9,10,6","7,10",1,-1
548,"4,9,11","5,10,7",2,0
549,"11,4,8","10,3,6",2,-1
550,"9,2,10","8,9",2,1
551,"10,8,7","5,10,10",1,-1
552,"10,10,6","4,2,3,2,4,10",1,-1
553,"2,5,10","10,7","1,0",0
554,"4,10,7","4,9,10",2,1
555,"11,7","10,11",,-1
556,"6,5,3","6,9,10",2,0
557,"3,10,6","3,10,8",2,-1
558,"3,9,10","4,5,4,4",2,-1
559,"5,11,2","5,7,6",2,0
560,"9,3,10","10,10",2,-1
561,"6,10,6","8,3,11,11,4",2,-1
562,"2,8,5","10,8",2,-1
563,"7,10,6","10,10",2,-1
564,"3,10","10,11",,-1
565,"8,10,10","7,4,6",1,-1
566,"10,11,9,7","8,2,5,10","1,1",-1
567,"10,2,10","3,11,8,10",2,-1
568,"6,8,3","9,2,10",2,-1
569,"4,10,4","7,10",2,1
570,"10,6,7","10,10",2,-1
571,"6,3,5","5,11,10,10",2,0
572,"3,11,6","10,2,8",2,0
573,"3,9,7","5,10,6",2,-1
574,"10,10,10","10,6,10",1,-1
575,"8,3,5","9,4,2,11,10",2,0
576,"7,2,4","3,10,2,10",2,0
577,"10,11,4","10,5,11,9","1,0",0
578,"10,5,10","5,4,6,3",2,-1
579,"5,8,6","11,11,9",2,-1
580,"9,10,10","8,3,2,7",1,-1
581,"7,10","9,11",0,-1
582,"6,8,4","10,10",2,-1
583,"4,10,4","7,10",2,1
584,"7,11","10,10",0,-1
585,"2,10,9","5,8,10",2,1
586,"9,10,11,10","9,8","1,1",-1
587,"5,5,2","8,4,2,8",2,0
588,"10,7,3,10","2,6,10","1,1",-1
589,"7,11,10,4","3,10,10","1,1",-1
590,"9,6,10","10,10",2,-1
591,"8,4,3","6,10,10",2,0
592,"6,2","7,7,9",0,0
593,"5,8,10","4,8,11,5",2,-1
594,"3,8,5","8,10",2,-1
595,"10,5,10","2,9,6",2,-1
596,"4,2","11,9",0,-1
597,"7,11","10,6,10",0,0
598,"10,7,3,10","2,9,11,9","1,1",-1
599,"2,7","10,10",0,-1
600,"10,7,4","3,10,10",1,1
601,"10,3","11,10",,-1
602,"7,7,7","8,5,3,9",2,1
603,"10,10,2","8,4,10",1,-1
604,"2,10,6","2,9,5,8",2,0
605,"4,11,2","6,10,6",2,0
606,"4,10,7","5,10,10",2,1
607,"3,6,10,10","10,4,10","1,1",-1
608,"5,5,2","5,4,7,5",2,-1
609,"10,6,9","10,3,10",2,-1
610,"6,3","10,2,10",0,0
611,"11,9,10,10","2,8,10","1,1",-1
612,"9,7","6,3,11",0,-1
613,"11,9,2","4,3,8,10","1,0",0
614,"7,10","10,4,6",0,-1
615,"6,7,10","3,6,9",2,-1
616,"10,10,6","10,10",1,-1
617,"7,11,8","6,9,2","1,0",-1
618,"7,5,8","4,10,3",2,1
619,"9,10,10","10,5,8",1,-1
620,"10,4,2","7,2,5,5",2,-1
621,"10,10,3","4,9,10",1,-1
622,"8,11,10,10","10,10","1,1",-1
623,"4,6,5","9,6,4",2,-1
624,"3,10,10","5,3,10",2,-1
625,"2,10,10","8,7,3",2,-1
626,"10,6,10","2,10,11,2,7",2,-1
627,"5,5","10,4,9",0,0
628,"6,4,10","7,7,9",2,0
629,"10,5,10","4,10,4",2,-1
630,"2,9,9","10,6,10",2,0
631,"10,11","8,11",0,1
632,"10,4,8","3,5,7,8",2,-1
633,"7,3","10,2,7",0,-1
634,"7,10","10,10",0,-1
635,"6,8,5","3,10,10",2,0
636,"10,11","3,6,4,10",0,1
637,"10,10,7","10,9",1,-1
638,"3,2","10,8",0,-1
639,"9,3,4","2,5,8,10",2,0
640,"10,5,6","11,11,10,7",2,1
641,"3,7","10,6,3",0,-1
642,"4,10,7","8,10",2,1
643,"6,2,11","4,10,9",2,0
644,"10,2,8","10,5,6",2,-1
645,"10,9,7","4,10,7",1,-1
646,"2,2","5,5,10",0,-1
647,"10,9,7","8,9",1,-1
648,"10,10,5","7,8,10",1,-1
649,"10,4,6","2,4,8,10",2,0
650,"11,10","2,8,3,3,11",0,1
651,"10,10,6","6,4,6,5",1,-1
652,"7,10,2","10,10",2,-1
653,"3,6,10","6,4,10",2,-1
654,"8,8,4","9,5,10",2,0
655,"6,11,10","10,7",2,0
656,"11,10,10","7,10",1,1
657,"5,9,9","2,3,5,3,10",2,-1
658,"7,2,11","4,11,2",2,1
659,"10,4,10","7,8,10",2,-1
660,"10,2,10","5,4,11",2,-1
661,"6,6,10","10,10",2,-1
662,"11,7,11,10,9","5,3,2,10","1,1,1",-1
663,"9,10,2","10,10",1,1
664,"10,3,8","4,8,10",2,1
665,"7,6,11","6,9,2",2,-1
666,"7,10,4","9,7,3",2,1
667,"11,10,5","10,6,2","1,0",-1
668,"7,7,3","9,2,3,10",2,0
669,"8,5,6","10,8",2,1
670,"6,11,10","2,11,10,10",2,0
671,"10,5,4","10,8",2,1
672,"5,10,8","9,10",2,-1
673,"6,10,4","10,8",2,1
674,"3,10,7","3,5,5,11,10",2,0
675,"6,11,10","3,2,4,2,9",2,-1
676,"2,9,7","4,7,6",2,1
677,"5,10,7","8,10",2,-1
678,"8,5,9","10,10",2,-1
679,"11,4,10","10,2,10",2,0
680,"10,10,4","10,9",1,-1
681,"4,10,8","7,11",2,-1
682,"5,8,8","10,5,10",2,1
683,"11,10,6","2,6,3,11,6","1,0",-1
684,"5,5,10","4,10,3",2,1
685,"2,10,3","10,9",2,-1
686,"11,7,10","9,2,9",2,-1
687,"10,10,5","7,8,10",1,-1
688,"10,4,10","11,11,6",2,-1
689,"10,4,9","4,8,10",2,-1
690,"3,10,6","4,11,10,10",2,0
691,"2,5,9","10,3,8","1,0",-1
692,"7,2,10","3,9,7",2,0
693,"10,5,6","11,8",2,1
694,"10,3,2","8,6,5",2,-1
695,"10,9,10","8,2,10",1,-1
696,"10,6,10","3,9,4,10",2,-1
697,"10,7,3","6,10,11",2,1
698,"11,10,10","6,4,5,9",1,1
699,"7,2,9","5,4,4,10",2,0
700,"11,11,10","8,7,2",2,-1
701,"8,5,7","5,9,9",2,0
702,"9,10,2","8,6,10",1,1
703,"6,6,10","8,10",2,-1
704,"10,8","10,11",,-1
705,"11,7","4,10,10",0,0
706,"10,10,3","10,10",1,-1
707,"2,4,5","2,2,4,11",2,-1
708,"3,3","7,7,5",0,-1
709,"7,10,10","4,11,3",2,-1
710,"6,8,5","10,10",2,-1
711,"2,4,4","3,3,6,10",2,0
