round,player_hand,dealer_hand,actions,result
0,"8,5,11","5,10,3",2,-1
1,"5,10,11,2,10","6,6,10","1,1,1",-1
2,"9,10","10,2,10",0,0
3,"7,10","11,8",0,-1
4,"11,10","5,7,11,2,11,2",0,1
5,"8,7,8","6,4,10",1,-1
6,"10,10","10,10",0,0
7,"10,4,7","6,10,6",2,1
8,"10,4,6","8,2,10",2,0
9,"9,5,9","11,3,8,10",2,-1
10,"9,3,6","10,10",2,-1
11,"10,6,3","10,6,3",2,0
12,"11,8,2","4,10,10",1,1
13,"9,5,9","3,10,10",1,-1
14,"2,7,3","4,9,5",2,-1
15,"4,10,10","10,10",2,-1
16,"10,10","9,4,3,10",0,0
17,"11,10","2,10,11,10",0,1
18,"4,10,7","10,10",2,1
19,"2,5,10","10,8",2,-1
20,"10,6,7","9,5,6",2,-1
21,"8,5,10","10,2,10",2,-1
22,"2,9,10","5,3,10",2,1
23,"3,8,5","8,2,4,2,9",2,0
24,"6,4","3,3,7,8",0,-1
25,"10,4,5","10,6,8",2,0
26,"4,5,3","11,3,3",2,-1
27,"10,10","7,10",0,1
28,"4,10,6","2,8,10","1,0",0
29,"10,2","10,11",,-1
30,"10,10","3,10,8",0,-1
31,"11,9","5,7,10",0,0
32,"5,11,10,11,6","3,4,10","1,1,1",-1
33,"5,10,3,10","5,4,11","1,1",-1
34,"11,4,7","5,10,5","1,0",-1
35,"3,10,4,9","2,10,10","1,1",-1
36,"6,10,2","11,8",2,-1
37,"10,8","8,9",0,1
38,"7,11,10,5","6,2,6,4","1,1",-1
39,"5,10,6","10,10",2,1
40,"10,11","9,9",0,1
41,"7,10,10","2,10,9","3,1",-1
41,"7,10","2,10,9","3,1",-1
42,"6,5,3","10,5,4",2,-1
43,"7,3,4","10,3,5",2,-1
44,"10,10","3,8,10",0,-1
45,"9,10","10,8",0,1
46,"9,4,10","10,10",2,-1
47,"4,5,10","10,10",2,-1
48,"7,10,4","10,10","3,2",1
48,"7,8","10,10","3,2",-1
49,"10,6,5","6,8,4",1,1
50,"11,7","10,11",,-1
51,"10,2,9","10,2,4,10",2,1
52,"6,11,10","10,10",2,-1
53,"10,6,10","4,10,9",1,-1
54,"2,10,5","8,10",2,-1
55,"2,3","11,10",,-1
56,"10,10","6,10,2",0,1
57,"2,4","11,6",0,-1
58,"6,10,5","2,2,6,10",1,1
59,"11,3","11,10",,-1
