round,player_hand,dealer_hand,actions,reward
0,"2,4,6","6,5,4,8","1,0",1
1,"3,7,8","3,6,8","3,2",1
1,"3,4","3,6,8","3,2",-1
2,"11,5","10,10",0,-1
3,"8,11","6,3,9",0,1
4,"10,2,2","10,8",2,-1
5,"9,10","6,10,8",0,1
6,"11,10,8,10","11,6","1,1",-1
7,"10,10","9,10",0,1
8,"4,10,4","8,10",2,0
9,"11,5,2","4,10,10","1,0",1
10,"2,10,8","10,2,10",2,1
11,"10,10","10,5,10",0,1
12,"10,10,8","11,9",1,-1
13,"7,7,2,9","4,11,10,10","1,1",-1
14,"10,10","10,6,7",0,1
15,"3,4,5","10,6,4",2,-1
16,"10,5,6","5,9,9",1,1
17,"10,5,10","5,10,7",1,-1
18,"4,6,10","6,9,10",2,1
19,"3,10,3","11,11,10,10",2,1
20,"11,7,8","10,6,10","1,0",1
21,"3,10,10","9,7,10",2,-1
22,"9,9","11,10",,-1
23,"10,11","7,5,10",0,1
24,"9,9,7","10,6,8",1,-1
25,"10,10","6,7,7",0,0
26,"4,11,3","3,10,10","1,0",1
27,"3,9,5","10,10",2,-1
28,"3,10,5","3,11,5","3,2",-1
28,"3,10","3,11,5","3,2",-1
29,"5,6,7","9,10",2,-1
30,"6,3,9","6,11",2,1
31,"3,4","6,10,10",0,1
32,"10,5,4","5,4,5,11,10","1,0",1
33,"10,5","10,11",,-1
34,"9,10","2,8,11",0,-1
35,"9,10","4,9,3,2",0,1
36,"10,7,4","11,8",2,1
37,"8,6,3","9,7,7",2,1
38,"8,6,4,10","3,5,3,2,7","1,1",-1
39,"10,10,9","10,4,9",1,-1
40,"2,10,10","3,10,10",2,-1
41,"3,10,4","10,2,4,7",2,1
42,"10,5,6","4,2,4,2,10",1,1
43,"11,7,11,10,10","7,10","1,1,1",-1
44,"8,4,8","2,10,8",2,0
45,"5,4,9","10,2,10",2,1
46,"10,5,10","4,10,10",2,-1
47,"10,9,5","9,11",1,-1
48,"7,7,10","10,3,10",2,-1
49,"11,11,4","2,10,9",2,-1
50,"7,9,8","10,6,2",2,-1
51,"8,10,7","11,5,10,10",2,-1
52,"3,4","10,5,6",0,-1
53,"9,4,10","3,10,5",2,-1
54,"10,9,7","10,10",1,-1
55,"3,7,11","5,7,9",2,0
56,"5,10,7","4,10,3",2,-1
57,"7,10","10,11",,-1
58,"8,3,9","8,4,11,10",2,1
59,"6,10,3,6","3,5,4,11,2,8","1,1",-1
60,"10,8,11,10","3,10,2,10","1,1",-1
61,"2,6,11","5,3,10",2,1
62,"6,5,10","10,9",2,1
63,"10,9,6","3,10,4",1,-1
64,"11,10","3,10,10",0,1
65,"11,10","2,10,4,9",0,1
66,"10,9,3","10,2,8",1,-1
67,"6,7,8","5,4,10",2,1
68,"9,10,5","5,10,3",1,-1
69,"5,10,8","10,8",2,-1
70,"9,2,4","11,3,9,10",2,1
71,"10,10,5","7,3,10",1,-1
72,"8,9,10","8,6,10",1,-1
73,"9,6,6","3,3,3,7,9",2,1
74,"10,7,5","10,6,7",2,-1
75,"2,11,5","8,10",2,0
76,"10,7,11,10","6,5,10","1,1",-1
77,"11,2,7","5,3,4,2,11,9",2,1
78,"10,10,10","7,11",1,-1
79,"5,9,2","8,10",2,-1
80,"10,7,10","6,8,11,7",1,-1
81,"10,11","6,10,5",0,0
82,"7,10,6","10,8",2,-1
83,"10,6,7","10,3,6",2,-1
84,"10,9,10","7,3,3,10",1,-1
85,"6,10,10","3,5,6,10",1,-1
86,"4,9,10","10,10",2,-1
87,"11,4,11","2,5,7,9",2,1
88,"10,6,6","10,3,2,4",2,-1
89,"4,2,10","8,3,10",2,-1
90,"4,3,8","3,5,10",2,-1
91,"10,4,2","10,10",2,-1
92,"2,9,11","10,2,6",2,-1
93,"10,5,9","4,9,3,11",2,-1
94,"6,6,3","10,4,5",2,-1
95,"10,10,3","8,11",1,-1
96,"11,9,10,10","2,2,7,10","1,1",-1
97,"7,6,4","9,10",2,-1
98,"10,10,4","4,8,8",1,-1
99,"11,4,5","9,10",2,1
100,"10,10,9","4,8,10",1,-1
101,"10,5,6","3,10,4",2,1
102,"5,2,7","10,7","1,0",-1
103,"10,10,10","10,10",1,-1
104,"5,10,2","7,8,10",2,1
105,"2,10,10","11,3,9,9",2,-1
106,"5,11,8","4,5,10",2,-1
107,"10,3,5,7","3,3,10,10","1,1",-1
108,"10,6,3","9,4,5",2,1
109,"10,11,10","8,7,8",1,1
