round,player_hand,dealer_hand,actions,result
0,"10,10,3","2,11,8",1,-1
1,"10,4,9","7,9,3",2,-1
2,"6,2,7","9,6,7","1,0",0
3,"7,5,8","8,4,10",2,0
4,"10,3,7","11,5,10,10",2,0
5,"10,6","8,4,10",0,0
6,"10,7","3,8,11,3,7",0,0
7,"5,11","10,5,5",0,-1
8,"10,5,7","10,3,2,6",2,-1
9,"9,11,4","2,10,4,7",2,0
10,"9,7,10","10,9",2,-1
11,"10,2,7","10,9",2,0
12,"10,4,10","10,5,4",2,-1
13,"8,8","6,3,11",0,-1
14,"6,8,11","7,3,10",2,-1
15,"11,3","11,10",,-1
16,"7,9,10","3,5,5,2,10",2,-1
17,"10,2,10","10,10",2,-1
18,"10,10","10,10",0,0
19,"10,10","7,10",0,1
20,"10,10","5,8,8",0,-1
21,"10,3,7","9,9",2,1
22,"7,8,3","8,9",2,1
23,"2,5,10","5,5,9","1,0",-1
24,"8,8","10,10",0,-1
25,"9,10","6,11",0,1
26,"5,10,10","9,9",2,-1
27,"4,5,4","5,10,10",2,0
28,"3,11,6","10,5,11,3",2,1
29,"5,4,10,10","5,6,3,6","1,1",-1
30,"10,3,6","2,10,4,7",2,0
31,"2,8","10,10",0,-1
32,"10,10","10,11",,-1
33,"6,3","10,8",0,-1
34,"11,10","2,10,10",0,1
35,"10,11","6,5,11,7",0,1
36,"5,10,9","10,6,6",1,-1
37,"8,11,10,9","10,6,2","1,1",-1
38,"10,6,10","4,7,8",1,-1
39,"6,8,6,5","3,9,7","1,1",-1
40,"11,10","7,10",0,1
41,"2,10,2","2,2,6,11",2,-1
42,"3,5,10","10,10","1,0",-1
43,"9,11","11,10",,-1
44,"8,6,3","10,8",2,-1
45,"6,9,10","10,4,10",2,-1
46,"4,10,6","6,9,10",2,0
47,"9,3,10","5,10,6",1,-1
48,"2,10,5","10,6,3",2,-1
49,"10,2,10","7,10",2,-1
50,"2,9,6","2,7,3,10",2,0
51,"11,10","10,7",0,1
52,"3,6","11,7",0,-1
53,"8,7,7","10,8",2,-1
54,"6,8,9","4,10,10",2,-1
55,"2,8,3","10,8",2,-1
56,"6,10","8,3,7",0,-1
57,"9,5,7","10,10",1,1
58,"4,11,3","10,2,10",2,0
59,"9,11","10,6,8",0,0
60,"3,10,8","4,10,2,5",2,0
61,"10,9,10","10,3,10",2,-1
62,"10,2,3,8","7,8,8","1,1",-1
63,"4,10","11,6",0,-1
64,"10,4,5,11,9","10,10","1,1,1",-1
65,"11,7","10,8",0,0
66,"4,10,5","10,6,4",2,-1
67,"9,10","11,10",,-1
68,"3,6,10","10,7",2,1
69,"7,9,10","2,11,2,4",1,-1
70,"10,10,4","2,2,4,3,7",1,-1
71,"10,4,5,10","8,5,5","1,1",-1
72,"2,10,3","7,4,10",2,-1
73,"10,10,10","5,10,5",2,-1
74,"2,11,7","5,10,9",2,0
75,"10,3","7,6,10",0,0
76,"5,10,11","7,10",2,-1
77,"9,3,9","7,5,8",2,1
78,"9,10,5","5,3,7,6",1,-1
79,"10,9,11","8,8,9",2,0
80,"4,6,3","6,6,9",2,-1
81,"3,10,7","10,3,2,4",2,1
82,"4,8","11,10",,-1
83,"10,11","9,11",0,1
84,"5,9,7","10,8",2,1
85,"6,10,5","5,10,5",2,1
86,"11,4,8","4,2,8,10","1,0",0
87,"10,3,11","10,10",2,-1
88,"8,9,3,5","2,9,11,6","1,1",-1
89,"9,9,7","11,7",1,-1
90,"10,2,4,8","11,8","1,1",-1
91,"8,10,3","10,10",2,1
92,"10,10,5","10,8",1,-1
93,"6,10,10","11,4,11,8,10",1,-1
94,"10,7,10","9,4,7",1,-1
95,"10,6","11,10",,-1
96,"4,8,9","5,4,8",2,1
97,"10,8,10","3,6,10",1,-1
98,"4,3","6,10,6",0,0
99,"11,9","10,10",0,0
100,"11,3,9","5,9,11,10",2,0
101,"10,2,9","10,10","3,2",1
101,"10,6","10,10","3,2",-1
102,"10,10,4","2,2,10,6",1,-1
103,"9,6","11,10",,-1
104,"7,2,4","5,6,10",2,-1
105,"2,4,5","4,2,8,10",2,0
106,"2,10,7,9","10,10","1,1",-1
107,"10,5,10","6,10,11",1,-1
108,"10,10,5","8,9",2,-1
109,"10,10","6,10,2",0,1
110,"6,7","10,11",,-1
111,"10,6,10","10,5,7",2,-1
112,"10,5,9","4,10,6",2,-1
113,"10,5,7","3,5,2,7",1,-1
114,"11,5,8","10,7",2,-1
115,"11,7,11,4","4,3,10","1,1,0",-1
116,"9,3,5","4,3,10",2,0
117,"8,4,3","3,2,10,5","1,0",-1
118,"10,6,5","10,10",1,1
119,"5,10,3","10,8",2,0
120,"11,2","5,8,6",0,-1
121,"6,2,10","10,7","1,0",1
122,"11,9","10,10",0,0
123,"9,4,9","10,3,3,8",2,-1
124,"3,7,10","10,10",2,0
125,"10,10","10,10",0,0
126,"2,10,5","2,8,10",2,-1
127,"3,3,9,11,2,4","5,10,10","1,1,1,1",-1
128,"4,6,10","10,6,7",2,0
129,"8,8,8","6,8,11,5",1,-1
