round,player_hand,dealer_hand,actions,result
145,"4,10,10","3,6,4,10",1,-1
146,"8,6,8","4,11,10,11,11",1,-1
147,"4,10,10","5,7,10",2,-1
148,"10,2,3","5,10,7",2,0
149,"10,2,6","3,9,8",2,-1
150,"7,10,5","10,10",2,-1
151,"11,6","8,7,10",0,0
152,"10,6,2","9,10",2,-1
153,"5,8,9","3,10,5",1,-1
154,"5,2,11","6,10,9",2,0
155,"10,4,3,4","2,2,7,10","1,1",0
156,"10,3,5","10,10",2,-1
157,"9,7,9","10,10",2,-1
158,"2,10,10","2,6,11",2,-1
159,"6,11,3","4,8,10","1,0",0
160,"6,10,4","10,10",2,0
161,"10,7,9","3,8,10",1,-1
162,"10,10","10,11",,-1
163,"10,8","11,10",,-1
164,"10,11","10,5,10","3,3",1
164,"10,10","10,5,10","3,3",0
164,"10,10","10,5,10","3,3",0
165,"4,10,8","5,9,5",2,-1
166,"10,7,8","10,10","3,2",-1
166,"10,10","10,10","3,2",0
167,"10,9,4","10,5,10",2,-1
168,"11,7,6","8,10","3,1,0",-1
168,"11,7","8,10","3,1,0",0
169,"7,4,10","5,7,8",2,1
170,"11,10","7,11",0,1
171,"10,10","6,5,6",0,1
172,"4,11,10","8,11","3,2",-1
172,"4,10","8,11","3,2",-1
173,"2,5,3","9,6,6",2,-1
174,"9,2,3","10,3,3,8",2,0
175,"10,10","10,7",0,1
176,"10,6,7","7,3,6,11",1,-1
177,"9,10","2,7,4,10","3,0",0
177,"9,2","2,7,4,10","3,0",0
178,"4,10,6","9,8",2,1
179,"2,9,10","10,10",2,1
180,"8,6,10","8,8,7",2,-1
181,"3,10,4,10","3,5,7,10","1,1",-1
182,"7,2","11,10",,-1
183,"3,10,10","3,11,10,9",1,-1
184,"10,10","6,7,2,8",0,0
185,"9,8,10","8,10","3,1",-1
185,"9,10","8,10","3,1",1
186,"10,3,6","8,6,2,6",2,0
187,"5,10","10,11",,-1
188,"8,3,4","5,10,10",2,0
189,"5,2","9,4,6",0,-1
190,"11,6,10,10","2,6,5,5","1,1",-1
191,"7,5,2","10,3,4",2,-1
192,"10,9","2,9,9",0,-1
193,"10,9","3,3,2,9",0,1
194,"4,10,7","11,9",2,1
