round,player_hand,dealer_hand,actions,result
0,"5,4","8,11",0,-1
1,"10,9,2","8,10",1,1
2,"4,10","10,4,2,5",0,-1
3,"11,6,7,2,3,8","9,5,8","1,1,1,1",-1
4,"10,2,11,8","6,10,11","1,1",1
5,"5,6","9,10",0,-1
6,"6,9","11,5,3",0,-1
7,"7,10,10","8,3,10","3,1",-1
7,"7,9","8,3,10","3,1",-1
8,"2,10,9","5,5,10","3,1",1
8,"2,3","5,5,10","3,1",-1
9,"10,8,10","5,10,10",1,-1
10,"2,3","10,10",0,-1
11,"8,10,10","4,5,8",1,-1
12,"10,4,5,4","4,9,2,10","1,1",-1
13,"10,10,7","6,10,10",1,-1
14,"10,10,10","6,3,6,10",1,-1
15,"10,3","9,8","3,0",-1
15,"10,5","9,8","3,0",-1
16,"10,5","11,4,7,8",0,-1
17,"10,5","10,5,11,2",0,-1
18,"10,6","10,6,3",0,-1
19,"7,4,10","2,10,6","3,1",1
19,"7,9","2,10,6","3,1",-1
20,"8,10,4","5,8,3,3",1,-1
21,"11,7","10,11",,-1
22,"5,10,7","3,5,10",1,-1
23,"4,6,6,10","3,2,2,6,6","1,1",-1
24,"2,8","10,3,5",0,-1
25,"9,10,10","2,9,10",1,-1
26,"6,2","3,5,10",0,-1
27,"7,11,10,10","7,6,5","1,1",-1
28,"11,7,10,10","4,11,5","1,1",-1
29,"9,10,8","3,10,4",1,-1
30,"10,8,6","10,2,2,8",1,-1
31,"11,7,10,4","9,11","1,1",-1
32,"10,9,4","10,6,7",1,-1
33,"3,11","9,4,10",0,0
34,"10,9,9","7,10",1,-1
35,"10,5","10,10",0,-1
36,"3,10","10,10",0,-1
37,"4,10","11,2,9,10",0,0
38,"10,11","11,4,8,10",3,1
38,"10,11","11,4,8,10",3,1
39,"10,10,3","7,3,10",1,-1
40,"7,4,7,6","5,8,8","1,1",-1
41,"2,10,4,7","5,10,6","1,1",-1
42,"10,7","8,7,9","3,0",0
42,"10,11","8,7,9","3,0",1
43,"10,5","10,10",0,-1
44,"10,6","10,6,4",0,-1
45,"3,10","11,10",,-1
46,"10,5,2,10","4,10,11,5","1,1",-1
47,"7,9","10,9",0,-1
48,"10,3","10,5,10",0,0
49,"5,8","10,5,3",0,-1
50,"5,6,10","4,9,10",1,1
51,"8,9","9,10","3,0",-1
51,"8,8","9,10","3,0",-1
52,"8,10,4","5,10,4",1,-1
53,"9,11,10,6","7,6,6","1,1",-1
54,"10,6","11,10",,-1
55,"4,3","10,6,6",0,0
56,"11,6","9,11",0,-1
57,"7,3","10,10",0,-1
58,"2,4","8,4,6",0,-1
59,"10,11","2,6,10","3,3,3",1
59,"10,10","2,6,10","3,3,3",1
59,"10,8","2,6,10","3,3,3",0
59,"10,10","2,6,10","3,3,3",1
60,"5,2","11,3,10,10",0,0
61,"2,9","11,9",0,-1
62,"2,10","7,9,5",0,-1
63,"3,10,11,2,3,6","4,10,2,2","1,1,1,1",-1
64,"10,6,7","4,7,10",1,-1
65,"7,4","8,5,5",0,-1
66,"10,8,11,3","4,6,5,2","1,1",-1
67,"10,8","10,3,9",0,0
68,"11,4","10,2,11,10","3,0",0
